ID|word|meaning
157|violate|vt.违反,违犯,违背使人不得安宁,搅扰,亵渎,污损
158|crop|n.作物,庄稼,(谷类等的)一熟收成,一批,大量
159|blindfold|n,眼罩,障眼物。vt.将...眼睛蒙起来,蒙骗。adj.看不清的,盲目的
160|ignorant|a.无知的,愚昧的,不知道的
161|hinder|vt.阻碍,阻止
162|starch|n.淀粉,[喻]拘谨,古板,生硬。
163|solo|n.独奏,独唱
164|melon|n.甜瓜
165|explanatory|adj.说明的
166|animate|v.使有活力,激活
167|spontaneous|a.自发的,无意识的,自然的,天真率直的
168|strategic|a.战略的,战略方针的
169|amphibian|adj.两栖类的,水陆两用的。n.两栖动物,水陆两用飞机,水陆两用的平底车辆。
170|funny|a.滑稽的,可笑的
171|advantageous|a.有利的,有助的
172|whole|n.全部a.全体的,全部的,完整的,无缺的
173|cotton|n.棉花,棉线,棉纱,棉制品
174|peace|n.和平,平静,安宁
175|constitute|vt.组成,构成,形成,设立,建立,任命
176|barge|n.驳船,大型游船
177|clock|n.钟vt.记录(时间、速度等),为…计时
178|quietness|n.平静,安定,安静
179|inverse|a.相反的,倒转的,反转的n.相反之物
180|reader|n.读者,读本,读物,(英国的)大学讲师
181|plot|n.小块土地,阴谋,情节,vt.绘制,标绘,密谋,策划
182|drench|vt.使淋透,使湿透
183|pharmaceutist|n.药师,药剂师。
184|chop|n./v.砍,劈,剁
185|pharmaceutical|n.药物。adj.制药(学)上的
186|hesitant|adj.犹豫的
187|gorge|n.咽喉,峡谷,山口
188|absent|a.缺席的,缺乏的,不存在的,心不在焉的
189|regime|n.政体,政权,政治制度
190|past-due|adj.过期的
191|recall|vt./n.召回,回忆
192|needful|adj.必要的
193|scornful|adj.蔑视的,轻视的
194|murder|v./n.谋杀,凶杀
195|briefing|n.简要情况
196|brag|v.吹嘘,夸口
197|siren|n.警报声,警报器
198|abide|vi.(by)遵守,坚持,(abode)持续,住,逗留vt.容忍,忍受,等候
199|vocabulary|n.词汇,词汇量,词汇表
200|unwelcome|adj.不受欢迎的
201|inducement|n.诱导,动机
202|haven|n.港口,避难所。
203|rigorous|a.严格的,严厉的,严酷的,严密的,严谨的
204|resentful|adj.不满的,怨恨的
205|preoccupy|v.使迷住,专心于
206|jewel|n.宝石,宝石饰物
207|accessible|adj.可接近的
208|hinterland|n.内地
209|cohesive|a.粘合性的,有结合力的
210|misconceive|v.误解。
211|analogy|n.类似,相似,类比,类推
212|appreciably|adv.相当大地
213|divorce|v./n.离婚,分离
214|sermon|n.布道,讲道,说教
215|piggyback|adj.骑在背肩上的。adv.在背上,在肩上
216|barely|ad.赤裸裸地,无遮蔽地,仅仅,勉强,几乎没有
217|accessory|n.同谋者,附件
218|resemblance|n.相似,相似性[点,物
219|unwarranted|adj.无根据的
220|citizenship|n.公民权
221|flutter|v./n.振翼,颤动,(心脏)不规则跳动
222|approval|n.批准,赞同,认可
223|noun|n.名词
224|next|a.紧接的,其次的,贴近的ad.其次,居后
225|bathe|v./n.浸到水中,游泳
226|angel|n.天使,安琪儿
227|scorch|vt./vi.烧焦,烤焦,枯萎
228|via|prep.径,由
229|nautical|adj.船员的,船舶的,海上的,航海的,海军的。
230|become|vi.变成,开始变得vt.适合,同…相称
231|yearn|vi.想念,渴望
232|truant|n.逃避者。adj.逃避。
233|frog|n.蛙
234|brain|n.(大)脑,骨髓,(pl.)脑力,智能
235|commitment|n.责任
236|sectional|adj.可组合的。
237|adhere|vi.粘着,坚持,忠于
238|amount|vi./n.等于,总数,数量
239|aural|a.听觉的,听力的
240|far|a./ad.远,久远,遥远ad.到…程度,…得多
241|marvel|n.奇迹,惊奇vt.惊奇
242|accrue|v.产生,发生
243|clear|a./ad.清晰的(地)vt.清除,使清楚vi.变清澈
244|ballet|n.芭蕾舞,芭蕾舞演员
245|maths|n.(英)数学
246|screen|n.屏幕,屏风,帘v.掩蔽,包庇,筛选
247|assistant|a.帮助的,辅助的n.助手,助教,辅助物
248|dumping|n.倾销
249|package|n.包装,包裹,箱,包装费,标准部件,成套设备
250|alignment|n.队列,结盟,联合
251|converse|v.谈话,对话,交往
252|loll|v.懒洋洋地倚靠。
253|incorrect|a.不正确的,错误的
254|system|n.系统,体系,制度,方法,方式,步聚
255|idiot|n.白痴
256|plentiful|a.富裕的,丰富的
257|hereby|adv.以此
258|fringe|n.边缘,(窗帘)缘饰,额前垂发vt.饰…的边
259|hairpin|n.发卡
260|vein|n.血管,静脉,叶脉,纹理,情绪vt.使成脉络
261|willingly|adv.乐意地,自愿地
262|construe|v.翻译,解释
263|exert|vt.发挥,行使,尽力
264|it|pron.它,[作无人称动词的主语
265|victorious|a.胜利的,得胜的
266|weather|n.天气,气象
267|painstaking|n.苦干,辛苦。adj.辛苦的,辛勤的,艰苦的。
268|walk|v.走,步行,散步,走遍n.走,步行,散步
269|nickel|n.镍,美国五分镍币
270|acknowledgment|n.承认,鸣谢,回执
271|controversy|n.争论,辩论,争吵
272|probe|n./v.医学探针,新闻调查,探测
273|adorn|v.装饰,佩带
274|not|ad.不,不是,不会,没有
275|courteous|adj.有礼貌的
276|preach|vt./vi.传教,讲道,劝诫,鼓吹
277|military|a.军事的,军用的,军队的
278|shame|n.羞耻,耻辱,可耻的人(或事物)v.使羞愧
279|African|a.非洲的n.非洲人
280|platform|n.月台,站台,讲台,(政党的)政纲,党纲
281|deficiency|n.缺乏,不足,缺陷
282|foul|a.恶臭的,邪恶的,暴风雨的,n.(体育)犯规,v.弄脏,玷污,(使)缠结,犯规
283|against|prep.对着,逆,反对,违反,紧靠着,对比
284|flaunt|n.招展,招摇,炫耀,飘扬。v.挥动,夸耀,炫耀,飘扬。
285|gang|n.一组,一队,(罪犯等)一帮,一群
286|registered|adj.登记的,注册的
287|retire|v.退休,引退,退却,撤退,就寝
288|teaching|n.教学,讲授,教导
289|poliomyelitis|n.小儿麻痹症,急性骨髓灰白质炎。
290|colonel|n.(陆军)上校
291|coal|n.煤,煤块
292|dance|n.舞(蹈),舞曲,舞会v.跳舞,跳动
293|microphone|n.话筒,扩音器
294|advertise|v.做广告
295|drunkard|n.醉鬼
296|curiosity|n.好奇心,古董,古玩
297|ceramic|adj.陶器的。n.陶瓷制品
298|human|a.人的,人类的n.人
299|contend|v.斗争,竞争,主张。
300|fellowship|n.交情,团体,奖学金
301|transport|n.运输vt.运输
302|job|n.工作,职位,零活,一件工作,任务,职责
303|consider|v.考虑,细想,体谅,顾及,认为,把…看作
304|superb|a.壮丽的,头等的
305|room|n.房间,室,空间,地方,余地
306|desert|v.丢弃,离开,背弃,开小差,n./a.沙漠,无人居住的
307|handsome|a.漂亮的,大方的
308|twenty|num.二十pron./a.二十(个,只…)
309|prefix|n.前缀
310|cocaine|n.古柯碱,可卡因。
311|bottom-line|n.末行数字,结果
312|exasperate|v.激怒,使恼火
313|impressive|a.给人深刻印象的,惊人的
314|synthesis|n.综合,合成法,合成物
315|jazz|n.爵士乐
316|mainland|n.大陆,本土
317|brewery|n.酿酒厂。
318|penetration|n.穿入,渗透,侵入
319|contractual|adj.合同的,契约的
320|pioneering|n.先驱的
321|decoration|n.装饰物
322|tease|vt.取笑,嘲笑,戏弄
323|Mrs.|n.(缩)夫人,太太
324|devastating|adj.破坏性的,全然的。
325|motion|n.运动,动态,手势,眼色,姿势,提议,动议
326|stroll|n./v.漫步,散步,游荡
327|cost|n.成本,费用v.花费
328|reference|n.证明,出处,参照
329|dusk|n.薄暮,黄昏
330|stool|n.凳子,(pl.)大便
331|accede|v.同意
332|ambition|n.雄心,抱负
333|acceptable|a.可接受的,合意的
334|lesson|n.(功)课,[pl.
335|deprive|vt.剥夺,使丧失
336|some|a.几个,一些,有些,某(人或物)pron.一些
337|auction|n./vt.拍卖
338|thanks|n.感谢int.谢谢
339|cracker|n.苏打饼干,克力架
340|locomotive|a.运动的,移动的n.火车头
341|agreeable|a.令人愉快的,欣然同意的
342|optimistic|a.乐观主义的
343|mislead|v.把…带错路,使误入岐途
344|meteoric|adj.流星的,疾速的,大气的,辉煌而短暂的。
345|Islam|n.伊斯兰教,回教
346|overpayment|n.多付的款项
347|outrage|n.暴行,侮辱,愤怒v.凌辱,引起…义愤,强奸
348|then|ad.当时,在那时,然后,于是,那么,因而
349|friendly|a.友好的,友谊的
350|house|n.房屋,商业机构,[H-
351|razor|n.剃刀
352|communicate|v.传达,传送,交流,通讯,通话
353|vaccination|n.接种
354|starting|n.出发,开始
355|prevail|vi.流行,盛行
356|reportage|n.报告文学
357|colonialism|n.殖民主义。
358|strange|a.奇怪的,奇异的,陌生的,生疏的,外地的
359|impractical|v.不可行的
360|assistance|n.协作,援助,帮助
361|hanger|n.衣架
362|reinforcement|n.加强,援兵
363|bookshelf|n.书架
364|disentangle|vi.解脱,解开纠结,松开,解决(纠纷)。vt.解开,松开。
365|tragedy|n.悲剧,惨事,灾难
366|empty|a.空的,空洞的v.倒空,使成为空的
367|matrimony|n.结婚。
368|reality|n.现实,实际,真实
369|specify|v.指定,详细说明
370|nomination|n.提名,任命
371|metro|n.伦敦地下铁道,地下铁道。
372|neither|a.两者都不pron.两者都不ad.也不
373|exquisite|a.优美的,精巧的
374|enthusiasm|n.热情,热心,狂热,积极性(for)
375|star|n.星,恒星,明星v.用星号标出,扮演主角
376|sclerosis|n.[医]硬化症,硬化,硬结。
377|knowledgeable|adj.博学的
378|cherry|n.樱桃(树)
379|trademark|n.商标,特征vt.注册的…商标
380|banana|n.香蕉
381|goddess|n.女神,绝世美女
382|astronomy|n.天文学
383|loose|a.(宽)松的,不精确的,自由的,散漫的
384|health|n.健康,健康状况,卫生
385|cigar|n.雪茄烟
386|yarn|n.纱,纱线,故事,奇谈。
387|modish|adj.流行的,时髦的。
388|calm|a.(天气,海洋等)静的n.平静v.(使)平静
389|summarize|v.概括,总结
390|introductory|adj.介绍的,入门的
391|stewardess|n.空中小姐,女乘务员
392|merciful|a.仁慈的,宽大的
393|sovereignty|n.主权
394|telefax|n.传真v.发传真
395|food|n.食物,粮食,养料
396|hop|v./n.单足跳,弹跳
397|adverse|a.不利的,逆的,(天气)恶劣的
398|percussion|打击乐器。
399|tonnage|n.吨位,吨数
400|procedure|n.过程,步骤
401|confine|vt.限制,禁闭
402|certify|v.(发给证书)证明,证实
403|composition|n.作品,作文,乐曲,作曲,结构,组成,成分
404|hence|ad.从此地,从此时,因此
405|orderly|a.有秩序的,整齐的,有条不紊的
406|invade|vt.侵略,侵犯,蜂拥而至
407|plasma|n.[解]血浆,乳浆,[物]等离子体,等离子区。
408|emigrate|vi.移居国外
409|vehement|adj.激烈的,猛烈的,(情感)热烈的。
410|publication|n.出版物,出版,发行,公布,发表
411|rich|a.富的,有钱的,富饶的,(in)充足的,丰富的
412|lonesome|adj.寂寞的
413|encyclopaedia|n.百科全书
414|whichever|pron./a.无论哪个,无论哪些
415|coat|n.上衣,外套,表皮,层,覆盖物v.涂(盖)上
416|componential|adj.成分的
417|manipulate|vt.操纵,控制,(熟练地)操作,使用
418|drowse|n.困,瞌睡。vi.打瞌睡。vt.使瞌睡
419|miser|n.守财奴,吝啬鬼
420|furious|a.狂怒的
421|competitiveness|n.竞争能力
422|impede|v.阻止。
423|canvass|v.游说
424|near|a.近的,接近的,亲近的prep.靠近ad.接近
425|justification|n.辩护,正当理由
426|face|n.脸,面貌,表情,正面v.面对着,朝,面向
427|bloc|n.为某种共同目的而采取一致行动的政治组织,集团。
428|biologist|n.生物学家
429|radial|a.光线的,放射的
430|wordy|adj.冗长的,罗嗦的
431|continuance|n.连续
432|slay|v.屠杀
433|behind|prep.在…的背后,(遗留)在…后面,落后于
434|manual|a.手工的,用手的,n.手册,便览
435|communication|n.通讯,交往,交流,传达的消息,交通
436|restock|v.重新进货,再储存
437|subtraction|n.减法,减去
438|innocuous|adj.无害的,无毒的,无伤大雅的,不得罪人的。
439|essay|n.文章,小品文,随笔
440|tremor|n.震动,颤动。vi.震颤,战栗。
441|clearance|n.清除,清理,净空,许可
442|mention|v./n.提及,说起
443|longing|n.渴望a.显示渴望的
444|optics|n.光学。
445|adapt|vt.使适应,改编
446|asterisk|n.星号。
447|papercut|n.剪纸,刻纸
448|conversant|adj.精通的,有交情的
449|sudden|a.出乎意料的,突然的
450|universal|a.普遍的,全体的,全球的
451|cultivate|vt.耕作,养植,栽培,培养,陶冶,发展
452|dense|a.浓密的,密集的,愚笨的
453|slavery|n.奴隶制度,苦役
454|protective|a.保护的,防护的
455|again|ad.再次,另一次,重新,除此,再,更,还
456|loneliness|n.孤独,寂寞
457|gloom|n.黑暗,忧郁
458|insure|vt.保险,给…保险,保证
459|pit|n.坑,凹部,修理站
460|Australia|n.澳大利亚
461|negligence|n.疏忽,过失
462|curb|n./vt.勒马的皮带,控制,约束
463|cultural|adj.文化的
464|idol|n.偶像,被崇拜的人
465|instructive|adj.指示的,教育的
466|susceptible|adj.易受影响的,易感动的,容许...的。n.(因缺乏免疫力而)易得病的人。
467|boardingschool|n.寄宿学校。
468|mall|n.购物商场,商业街,林荫路。
469|emerge|vi.出现,浮现,暴露
470|hundredth|num.第一面,百分之一
471|despatch|v.n.派遣。
472|explosion|n.爆炸,爆发
473|coin|n.铸币,硬币vt.铸造,创造
474|shove|vt.乱推,乱塞vi.用力推,挤n.猛推
475|Frenchman|n.法国人
476|listener|n.听者,听众之一
477|deception|n.欺诈
478|ability|n.能力,本领,才能,才干,专门技能,天资
479|blur|v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污。n.污点。
480|compartment|n.间隔间,车厢。
481|bomb|n.炸弹v.投弹于,轰炸
482|burglar|n.(入室行窃的)盗贼
483|strive|vi.斗争,努力,奋斗
484|darken|v.变黑,转暗
485|grammatical|a.语法上的
486|afraid|adj.害怕的,恐惧的,犯愁的,不乐意的
487|fervent|a.热情的,热烈的
488|irritation|n.刺激,恼怒
489|clarity|n.清楚,透明。
490|maniac|adj.发狂的,癫狂的,疯狂的。n.[医]燥狂(症)者,疯子,一种高速电子数字计。
491|ball-pointpen|n.圆珠笔
492|hose|n.输水软管,长统袜,vt.浇(园子),用水管冲洗(汽车等)
493|incomplete|a.不完全的,未完成的
494|typist|n.打字员
495|potluck|n.家常便饭。
496|with|prep.跟…一起,用,具有,关于,因,随着
497|otherwise|ad.另样,用别的方法,在其他方面conj.要不然
498|fever|n.发热,狂热
499|mumps|n.腮腺炎
500|bubble|n.气泡,泡沫
501|China|n.瓷器
502|sulphur|n.硫磺。
503|exhilarate|vt.使高兴,使愉快。
504|post|v.贴出,公告,投寄n.(支)柱,邮政,邮寄,职位
505|morality|n.道德,美德,伦理体系
506|evenly|ad.一致地,平静地
507|bowling|n.保龄球运动
508|devastate|vt.毁坏。
509|evident|a.明显的,明白的
510|friend|n.朋友
511|indirectly|adj.间接地
512|warfare|n.战争(状态),斗争,冲突
513|marked|adj.有标记的,标明的
514|payable|adj.支付给的
515|enemy|n.敌人,仇敌,反对者,敌人,敌军,敌国
516|adjudicate|v.判决,宣判,裁定。
517|objective|a.[哲
518|sew|v.缝,缝纫
519|esteem|n./vt.尊重,珍重
520|westward|a.向西的ad.向西
521|maintenance|n.维修,保养,维持,保持,生活费用
522|chase|v./n.追逐,追赶,雕镂
523|accounting|n.会计学
524|wring|vt.拧,挤,扭,榨
525|mistaken|adj.搞错了的,误解的
526|confuse|vt.使困惑,混淆
527|innumerable|a.数不清的
528|null|adj.无效力的,无效的,无价值的,等于零的。n.零,空,零迅号
529|everlasting|a.永久的,永恒的
530|fluency|n.流利,流畅
531|forecast|vt./n.预报,预测
532|melody|n.旋律,曲调,悦耳的音乐
533|sigh|v./n.叹气
534|cellular|adj.细胞的。
535|mechanically|ad.机械地
536|trolley|n.手推车,(英)无轨电车,(美)有轨电车
537|precinct|n.区域,围地,范围,界限,选区。
538|class|n.班级,年级,种类,等级,阶级,(一节)课
539|positively|ad.确定的,断然
540|polymer|n.聚合物,多聚物
541|cramp|n.抽筋,腹部绞痛,月经痛。adj.狭窄的,难解的。vt.使抽筋,以铁箍扣紧。
542|Dutch|n.荷兰人,荷兰语。adj.荷兰的,<俚>德国的,条顿民族的。
543|disreputable|adj.声名狼藉的,破烂不堪的。
544|drift|n.漂流,漂流物,大概意思,趋势,v.漂流,流浪
545|politician|n.政治家,政客
546|balcony|n.阳台,剧院楼厅
547|antique|a./n.古代的,古玩,古物
548|monument|n.纪念碑,纪念馆,遗迹,不朽的业绩
549|stand|vi.站立,位于,经受n.台,座,货摊,立场
550|hospitality|n.好客,殷勤
551|elated|adj.兴高采烈的,得意洋洋。
552|typewriter|n.打字机
553|bitterness|n.苦味,辛酸,苦难
554|clerk|n.职员,办事员,店员
555|carrot|n.胡萝卜
556|bedroom|n.卧室
557|bilingual|adj.能说两种语言的。
558|manhole|n.(锅炉,下水道供人出入检修用的)人孔,检修孔。
559|good|a.好的,善良的,擅长的,乖的n.好处,利益
560|foolish|a.愚笨的,愚蠢的
561|solvency|n.偿付能力
562|infirmary|n.医院,医务室<美>养老院,救济院。
563|importance|n.重要,重要性
564|countenance|n.容貌,支持
565|connection|n.联系,连接,亲戚,社会关系
566|oppression|n.压迫
567|arms|n.武器
568|beard|n.胡须。
569|pregnancy|n.怀孕
570|baron|n.男爵,贵族,巨商
571|risky|adj.有风险的,冒险的
572|rip|v./n.撕裂,撕开,扯破
573|champion|n.冠军,拥护,vt.支持,拥护,保卫
574|tree|n.树,树状物vi.爬上树
575|unlike|a.不同的,不相似的prep.不象,和…不同
576|enormous|a.庞大的,巨大的
577|accordingly|ad.相应地,照着办,按照,于是,因此
578|nuance|n.细微差别。
579|foretell|v.预告,预言
580|mold|n.模子,铸型。vt.浇铸,塑造
581|shortage|n.不足,缺少
582|brilliant|a.光辉的,英明的
583|ovation|n.热烈欢迎,大喝采,大受欢迎,欢呼。
584|specimen|n.标本,样品,样张,试样
585|soy|n.酱油,大豆,黄豆
586|gaol|n.监狱
587|road|n.路,道路,途径
588|dumb|a.哑的,暂不说话的,愚笨的
589|crucial|adj.至关紧要的。
590|reliant|adj.信赖的,依靠的,信赖自己的。
591|hopeful|a.给人希望的,抱有希望的
592|married|a.已婚的,夫妇的,(to)与…结婚的
593|invader|n.入侵者
594|drag|v.拖,拖曳
595|packaging|n.包装
596|mien|n.风度。
597|spotlight|n.聚光灯。
598|genocide|n.有计划的灭种和屠杀
599|overcast|adj.多云的
600|dilute|vt.使变淡,稀释,a.稀释的
601|fragile|a.易碎的,脆的,易损坏的,虚弱的,脆弱的
602|fabric|n.织物,构造,结构
603|smuggling|n.走私
604|English|n.英语a.英国人的
605|laden|adj.装满的,负载的,苦恼的。vbl.lade的过去分词。
606|exhaustion|n.用尽,详述
607|virtue|n.德行,美德,贞操,优点,功效,效力
608|probable|a.很可能的,大概的,有希望的,可能的
609|applicant|n.申请人,请求者
610|situation|n.形势,处境,状况,位置,场所,职位,职务
611|industrial|a.工业的,产业的
612|park|n.公园,停车场,运动场v.停放(汽车等),寄放
613|highlight|n.加亮区,精彩场面,最显著(重要)部分。vt.加亮,使显著,以强光照射,突出。
614|tight|a.紧的,紧身的,装紧的,密封的ad.紧紧地
615|A.M.|(缩)上午
616|stubborn|a.顽固的,难对付的
617|indifference|n.冷淡,不关心
618|macabre|adj.恐怖的,令人毛骨悚然的,以死亡为主题的。
619|injustice|n.不公正
620|frustrate|vt.使灰心,挫败,阻挠
621|backward|a.向后的,倒行的,迟钝的ad.向后,朝反方向
622|collection|n.收藏(品),收集(物)
623|obliterate|adj.删去,抹掉
624|utility|n.有用,实用,公用事业(煤气,水电)
625|carrier|n.运货人,带菌者,运输军队的交通工具
626|resident|n.居民,常住者a.居住的
627|cubism|n.立体主义
628|aggressive|a.侵略的,有进取心的
629|infant|n.婴儿
630|terrace|n.斜坡地,梯田,看台,大阶梯
631|bike|n.自行车vi.骑自行车
632|anyone|pron.(用于疑问句,否定式)任何人
633|ploy|n.策略,趣味,工作。
634|vacation|n.假期
635|plenary|adj.完全的,绝对的n.全体会议,全会
636|negotiation|n.谈判
637|profit|n.利益,利润
638|cardinal|a.主要的,基本的,n.深红色,基数
639|anyway|ad.不管怎么说,无论如何,不论以何种方式
640|permission|n.允许,同意
641|jail|n.监狱
642|postcard|n.明信片
643|keen|a.锋利的,尖锐的,强烈的,敏锐的,渴望的
644|development|n.发展,开发,生长
645|patriotic|a.爱国的
646|take-off|n.起飞
647|waken|v.醒,弄醒,唤醒
648|invert|adj.转化的。vt.使颠倒,使转化。n.颠倒的事物
649|comet|n.彗星。
650|confirmation|n.证实,确定,确认
651|perspective|n.透视,透视画法,视角,观点
652|bite|v./n.咬,叮,刺,紧握,鱼上钩
653|surprise|v.使诧异,使惊异,奇袭n.诧异,惊异,奇袭
654|fluctuate|vi.(物价)涨落,起落,波动
655|control|n.控制,支配v.控制,支配
656|groove|n.槽vt.开槽于
657|repair|n.修理,修补v.补救,纠正,修理
658|waterfall|n.瀑布
659|skyrocket|v.猛涨
660|terribly|adv.可怕地,极
661|meet|n.会,集会v.遇见,会谈,迎接,满足,符合
662|scenery|n.风景
