ID|word|meaning
35 | evolution | n. 演变；进化论；进展
36 | toll | n. 通行费；代价；钟声；伤亡人数 v. 征收；敲钟
37 | assertive | adj. 肯定的；独断的；坚定而自信的
38 | median | n. n中值，中位数；三角形中线；梯形中位线 adj. 中值的；中央的
39 | salient | adj. 显著的；突出的；跳跃的 n. 凸角；突出部分
40 | constructive | adj. 建设性的；推定的；构造上的；有助益的
41 | anathema | n. 诅咒；革出教门；被诅咒者；令人厌恶的人
42 | retrograde | adj. 倒退的；退化的；次序颠倒的 v. 逆行；倒退；退步 adv. 倒退地；向后地
43 | wherever | adv. 无论什么地方；究竟在哪里 conj. 无论在哪里；无论什么情况下
44 | effeminate | adj. 柔弱的；女人气的 n. 女子气的男人 vt. 使柔弱；使无男子汉气概 vi. 变得无男子汉气概；变得柔弱
45 | torrid | adj. 晒热的；热情的
46 | dynamic | adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力
47 | resignation | n. 辞职；放弃；辞职书；顺从
48 | literacy | n. 读写能力；精通文学
49 | dissipate | v. 浪费；使…消散
50 | imaginary | adj. 虚构的，假想的；想像的；虚数的
51 | symptomatic | adj. 有症状的；症候的
52 | purposeful | adj. 有目的的；有决心的
53 | pervade | v. 遍及；弥漫
54 | aesthetic | adj. 美的；美学的；审美的，具有审美趣味的
55 | caustic | adj. [化学] 腐蚀性的；[化学] 苛性的；刻薄的；焦散的 n. [助剂] 腐蚀剂；苛性钠；焦散曲线
56 | timer | n. [电子] 定时器；计时器；计时员，记时员；跑表；延时调节器
57 | helix | n. 螺旋，螺旋状物；[解剖] 耳轮
58 | advantageous | adj. 有利的；有益的
59 | lucrative | adj. 有利可图的，赚钱的；合算的
60 | canonical | adj. 依教规的；权威的；牧师的 n. 牧师礼服
61 | guise | n. 伪装；装束；外观 vt. 使化装 vi. 伪装
62 | censorship | n. 审查制度；审查机构
63 | illegal | adj. [法] 非法的；违法的；违反规则的 n. 非法移民，非法劳工
64 | consultant | n. 顾问；咨询者；会诊医生
65 | burgeon | n. 芽, 嫩枝 v. 萌芽, 发芽
66 | automaton | n. 自动机；机器人；自动机器
67 | analyze | v. 对…进行分析，分解（等于analyse）
68 | resonate | v. 共鸣；共振
69 | safeguard | n. [安全] 保护；保卫；保护措施 v. [安全] 保护，护卫
70 | rectify | v. 改正；精馏；整流
71 | debut | n. 初次登台；开张 v. 初次登台
72 | braze | v. 用黄铜制；使成黄铜色 n. 铜焊
73 | pestilence | n. 瘟疫（尤指鼠疫）；有害的事物
74 | medieval | adj. 中世纪的；原始的；仿中世纪的；老式的
75 | suspend | v. 延缓，推迟；使暂停；使悬浮
76 | demolition | n. 拆除（等于demolishment）；破坏；毁坏
77 | soliloquy | n. 独白；自言自语
78 | exemplary | adj. 典范的；惩戒性的；可仿效的
79 | paradigm | n. 范例；词形变化表
80 | dilate | v. 扩大；膨胀；详述
81 | entity | n. 实体；存在；本质
82 | pecuniary | adj. 金钱的；应罚款的
83 | grandiose | adj. 宏伟的；堂皇的；浮夸的；宏大的
84 | censorious | adj. 挑剔的；受批判的（名词censoriousness，副词censoriously）
85 | atypical | adj. 非典型的；不合规则的
86 | gastronomy | n. 烹饪法，美食法；享乐主义
87 | witticism | n. 妙语；名言；俏皮话
88 | enumerate | v. 列举；枚举；计算
89 | echo | v. 反射；重复 n. 回音；效仿
90 | qualification | n. 资格；条件；限制；赋予资格
91 | invalid | adj. 无效的；有病的；残废的 n. 病人；残废者 v. 使伤残；使退役
92 | antediluvian | adj. 大洪水前的；远古的；陈旧的；旧式的 n. 大洪水以前的人；年迈的人；不合时宜的人
93 | moratorium | n. 暂停，中止；[金融] 延期偿付
94 | provocative | adj. 刺激的，挑拨的；气人的 n. 刺激物，挑拨物；兴奋剂
95 | undulate | v. 起伏，波动；震动；呈波浪形 adj. 波动的；起伏的；波浪形的
96 | salvage | n. 打捞；海上救助；抢救财货；救难的奖金 v. 抢救；海上救助
97 | gourmet | n. 美食家 adj. 菜肴精美的
98 | reciprocal | adj. 互惠的；相互的；倒数的，彼此相反的 n. [数] 倒数；互相起作用的事物
99 | adulatory | adj. 阿谀的，奉承的；谄媚的
100 | append | v. 附加；贴上；盖章 n. 设置数据文件的搜索路径
101 | rationalize | v. 使……合理化；使……有理化；为……找借口
102 | assay | n. 化验；试验 v. 分析；化验；尝试
103 | renovate | v. 更新；修复；革新；刷新
104 | leisure | n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
105 | churlish | adj. 没有礼貌的；脾气暴躁的
106 | sermonize | v. 说教；布道
107 | incandescent | adj. 辉耀的；炽热的；发白热光的
108 | quadrant | n. 象限；[海洋][天] 象限仪；四分之一圆
109 | canine | adj. 犬的；犬齿的；犬科的；似犬的 n. 犬；[解剖] 犬齿
110 | seminar | n. 讨论会，研讨班
111 | veracity | n. 诚实；精确性；老实；说真实话
112 | disrepute | n. 不光彩，坏名声
113 | column | n. 纵队，列；专栏；圆柱，柱形物
114 | deduce | v. 推论，推断；演绎出
115 | contradict | v. 反驳；否定；与…矛盾；与…抵触
116 | effulgence | n. 灿烂；光辉
117 | votary | n. 崇拜者；出家人 adj. 立誓任圣职的；誓约的
118 | sparse | adj. 稀疏的；稀少的
119 | inveterate | adj. 根深的；积习的；成癖的
120 | indicator | n. 指示器；[试剂] 指示剂；[计] 指示符；压力计
121 | ray | n. 射线；光线；【鱼类】鳐形目(Rajiformes)鱼 v. 放射；显出
122 | aristocrat | n. 贵族
123 | deduct | v. 扣除，减去；演绎
124 | disturb | v. 打扰；妨碍；使不安；弄乱；使恼怒
125 | discord | n. 不和；不调和；嘈杂声 v. 不一致；刺耳
126 | brightness | n. [光][天] 亮度；聪明，活泼；鲜艳；愉快
127 | pusillanimous | adj. 胆怯的；懦弱的；优柔寡断的
128 | ruthless | adj. 无情的，残忍的
129 | mordacious | adj. 锐利的；辛辣的
130 | quantum | n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
131 | bravado | n. 虚张声势；冒险
132 | tawdry | adj. 非常华丽的；廉价而俗丽的 n. 俗丽的东西；廉价而俗丽之物
133 | supplement | v. 增补，补充 n. 增补，补充；补充物；增刊，副刊
134 | aqueous | adj. 水的，水般的
135 | espy | v. 看到；认出；发现 n. (Espy)人名；(英、法)埃斯皮
136 | lament | n. 挽歌；恸哭；悲痛之情 v. 哀悼；悲叹；悔恨
137 | hinder | v. 成为阻碍 adj. 后面的 n. (Hinder)人名；(芬)欣德
138 | admonish | v. 告诫；劝告
139 | dominate | v. 控制；支配；占优势；在…中占主要地位
140 | vacillate | v. 犹豫；踌躇；摇摆
141 | proportionate | adj. 成比例的；相称的；适当的 vt. 使成比例；使相称
142 | conformity | n. 一致，适合；符合；相似
143 | axis | n. 轴；轴线；轴心国
144 | misrepresent | v. 歪曲，误传；不合适地代表
145 | conductor | n. 导体；售票员；领导者；管理人
146 | travail | n. 分娩的痛苦；艰苦劳动 v. 辛勤努力；经受分娩的阵痛
147 | inefficacious | adj. 无用的；无效果的
148 | excrement | n. 粪便，排泄物
149 | magnitude | n. 大小；量级；[地震] 震级；重要；光度
150 | orthodox | adj. 正统的；传统的；惯常的；东正教的 n. 正统的人；正统的事物
151 | colleague | n. 同事，同僚
152 | assignee | n. 代理人；受托人；分配到任务的人
153 | brittle | adj. 易碎的，脆弱的；易生气的
154 | assertion | n. 断言，声明；主张，要求；坚持；认定
155 | confront | v. 面对；遭遇；比较
156 | peruse | v. 详细考察；精读
157 | deport | v. 驱逐出境；举止；放逐 n. (Deport)人名；(捷)德波特；(法)德波尔
158 | ludicrous | adj. 滑稽的；荒唐的
159 | advantage | n. 优势；利益；有利条件 v. 获利
160 | rag | n. 破布；碎屑 v. 戏弄；责骂
161 | amusement | n. 消遣，娱乐；乐趣
162 | intermittent | adj. 间歇的；断断续续的；间歇性
163 | exhaust | v. 排出；耗尽；使精疲力尽；彻底探讨 n. 排气；废气；排气装置
164 | suspicious | adj. 可疑的；怀疑的；多疑的
165 | regress | v. 逆行，倒退；复归 n. 回归；退回
166 | souvenir | n. 纪念品；礼物 vt. 把…留作纪念
167 | recumbent | adj. 斜倚的；休息的
168 | neural | adj. 神经的；神经系统的；背的；神经中枢的 n. (Neural)人名；(捷)诺伊拉尔
169 | amateur | n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
170 | sealant | n. [机] 密封剂
171 | subside | v. 平息；减弱；沉淀；坐下
172 | haste | n. 匆忙；急忙；轻率 vi. 匆忙；赶紧 vt. 赶快
173 | numeration | n. 计算；数字的读法；[数] 命数法；编号
174 | depraved | adj. 堕落的；腐化的；卑鄙的 v. 使腐化（deprave的过去式和过去分词）
175 | zeal | n. 热情；热心；热诚
176 | preamble | n. 序文；电报报头；先兆 v. 作序文
177 | testimonial | n. 证明书；推荐书 adj. 证明的；褒奖的；表扬的
178 | upturn | n. 情况好转 vt. 使……转朝上；翻转 vi. 向上
179 | alight | v. 下来；飞落 adj. 烧着的；点亮着的
180 | indiscriminate | adj. 任意的；无差别的；不分皂白的
181 | rationality | n. 合理性；合理的行动
182 | sterling | adj. 纯正的；英币的；纯银制的 n. 英国货币；标准纯银
183 | element | n. 元素；要素；原理；成分；自然环境
184 | obstinate | adj. 顽固的；倔强的；难以控制的
185 | writhe | v. 翻滚；蠕动 n. 翻滚；扭动；苦恼
186 | embody | v. 体现，使具体化；具体表达 n. (Embody)人名；(英)恩博迪
187 | ascetic | adj. 苦行的；禁欲主义的 n. 苦行者；禁欲者
188 | equilibrium | n. 均衡；平静；保持平衡的能力
189 | dominant | adj. 显性的；占优势的；支配的，统治的 n. 显性
190 | rob | v. 抢劫；使…丧失；非法剥夺
191 | recant | v. 宣布放弃；公开认错
192 | interpreter | n. 解释者；口译者；注释器
193 | verification | n. 确认，查证；核实
194 | brusque | adj. 唐突的；直率的；无礼的 n. (Brusque)人名；(法)布吕斯克
195 | dissect | v. 切细；仔细分析
196 | branch | v. 分支；出现分歧 n. 树枝，分枝；分部；支流
197 | cathode | n. 阴极（电解）
198 | turmoil | n. 混乱，骚动
199 | mandate | n. 授权；命令，指令；委托管理；受命进行的工作 v. 授权；托管
200 | trivial | adj. 不重要的，琐碎的；琐细的
201 | lugubrious | adj. 悲哀的，悲惨的
202 | space | n. 空间；太空；距离 v. 留间隔
203 | rationalism | n. 理性主义；唯理主义
204 | epitaph | n. 碑文，墓志铭
205 | resilience | n. 恢复力；弹力；顺应力
206 | cognate | adj. [地质] 同源的；同类的 n. 同族；同根词
207 | winsome | adj. 迷人的；可爱的；引人注目的
208 | appellation | n. 称呼；名称；名目
209 | agitation | n. 激动；搅动；煽动；烦乱
210 | unanimity | n. 同意，全体一致
211 | commotion | n. 骚动；暴乱
212 | astute | adj. 机敏的；狡猾的，诡计多端的
213 | pepsin | n. 胃蛋白酶
214 | retort | n. 反驳，顶嘴；曲颈瓶 v. 反驳，反击
215 | subconscious | adj. 潜意识的；下意识的 n. 潜在意识；下意识心理活动
216 | enormous | adj. 庞大的，巨大的；凶暴的，极恶的
217 | foster | v. 培养；养育，抚育；抱（希望等） adj. 收养的，养育的 n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特
218 | ethereal | adj. 优雅的；轻飘的；缥缈的；超凡的
219 | irresolute | adj. 优柔寡断的；踌躇不定的；无决断的
220 | convoke | v. 召集；召集…开会
221 | codicil | n. 遗嘱的附录
222 | reserved | adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
223 | morose | adj. 郁闷的；孤僻的
224 | drowsy | adj. 昏昏欲睡的；沉寂的；催眠的
225 | gibberish | n. 乱语；快速而不清楚的言语
226 | dogmatist | n. 教条主义者；独断家；独断论者
227 | alien | adj. 外国的；相异的，性质不同的；不相容的 n. 外国人，外侨；外星人 v. 让渡，转让
228 | cartographer | n. 制图师；地图制作者
229 | embitter | v. 使怨恨；使难受；使受苦
230 | obtrusive | adj. 突出的；强迫人的；冒失的
231 | emulate | v. 仿真；模仿；尽力赶上；同…竞争 n. 仿真；仿效
232 | regale | v. 取悦；盛情款待 n. 款待
233 | innumerable | adj. 无数的，数不清的
234 | calorie | n. 卡路里（热量单位）
235 | nemesis | n. 报应；给与惩罚的人；天罚
236 | conundrum | n. 难题；谜语
237 | whine | v. 发牢骚；哭诉；嘎嘎响；发呜呜声 n. 抱怨；牢骚；哀鸣
238 | incriminate | v. 控告；暗示有罪
239 | extinction | n. 灭绝；消失；消灭；废止
240 | penalty | n. 罚款，罚金；处罚
241 | vigilance | n. 警戒，警觉；警醒症
242 | analyst | n. 分析者；精神分析医师；分解者
243 | joint | n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉 adj. 共同的；连接的；联合的，合办的 v. 连接，贴合；接合；使有接头
244 | furtive | adj. 鬼鬼祟祟的，秘密的
245 | authentic | adj. 真正的，真实的；可信的
246 | contract | v. 收缩；感染；订约 n. 合同；婚约
247 | philosophy | n. 哲学；哲理；人生观
248 | defiant | adj. 挑衅的；目中无人的，蔑视的；挑战的
249 | uphold | v. 支撑；鼓励；赞成；举起
250 | infringe | v. 侵犯；违反；破坏
251 | genome | n. 基因组；染色体组
252 | equestrian | adj. 马的；骑马的；骑术的 n. 骑手；骑马者
253 | stationary | adj. 固定的；静止的；定居的；常备军的 n. 不动的人；驻军
254 | imitate | v. 模仿，仿效；仿造，仿制
255 | tangent | adj. 切线的，相切的；接触的；离题的 n. [数] 切线，[数] 正切
256 | vain | adj. 徒劳的；自负的；无结果的；无用的
257 | interference | n. 干扰，冲突；干涉
258 | violent | adj. 暴力的；猛烈的
259 | quotation | n. [贸易] 报价单；引用语；引证
260 | impurity | n. 杂质；不纯；不洁
261 | elevated | adj. 提高的；高尚的；严肃的；欢欣的 v. 提高；抬起；振奋；提拔（elevate的过去分词） n. 高架铁路
262 | polish | n. 磨光，擦亮；擦亮剂；优雅，精良 v. 擦亮，变光滑 adj. 波兰的
263 | decay | v. 衰退，[核] 衰减；腐烂，腐朽 n. 衰退，[核] 衰减；腐烂，腐朽
264 | disciple | n. 门徒，信徒；弟子
265 | grip | n. 紧握；柄；支配；握拍方式；拍柄绷带 v. 紧握；夹紧
266 | prepossessing | adj. 给人好感的；有魅力的；引人注意的 v. 预先影响；使先具有（prepossess的现在分词）
267 | besmear | v. 弄脏，涂抹；玷污
268 | recourse | n. 求援，求助；[经] 追索权；依赖；救生索
269 | repudiate | v. 拒绝；否定；批判；与…断绝关系；拒付
270 | centenary | n. 一百年；百年纪念 adj. 一百年的
271 | assailant | n. 攻击者 adj. 袭击的；攻击的
272 | brigand | n. 强盗；土匪；盗贼
273 | jeopardize | v. 危害；使陷危地；使受危困
274 | sanctimonious | adj. 假装虔诚的；假装圣洁的；假装诚实的
275 | errant | adj. 不定的；周游的；错误的；偏离正路的
276 | alias | n. 别名，化名 adv. 别名叫；化名为
277 | predation | n. 捕食；掠夺
278 | drub | v. 用棒打；硬灌；打击
279 | abeyance | n. 中止，停顿；归属待定，暂搁
280 | patriotism | n. 爱国主义；爱国心，爱国精神
281 | pervasive | adj. 普遍的；到处渗透的；流行的
282 | instrument | n. 仪器；工具；乐器；手段；器械
283 | accede | v. 加入；同意；就任
284 | innocuous | adj. 无害的；无伤大雅的
285 | amphitheater | n. 竞技场；[建] 圆形露天剧场；古罗马剧场
286 | demeanor | n. 风度；举止；行为
287 | commodity | n. 商品，货物；日用品
288 | callous | adj. 无情的；麻木的；硬结的；起老茧的 v. 使冷酷无情；使硬结；使生茧 n. 硬皮；老茧
289 | countermand | n. 取消；反对命令 v. 取消，撤消；下反对命令召回
290 | slander | v. 诽谤；造谣中伤 n. 诽谤；中伤
291 | deride | v. 嘲笑；嘲弄
292 | sugar | n. 糖；食糖；甜言蜜语 v. 加糖于；粉饰
293 | replenish | v. 补充，再装满；把…装满；给…添加燃料
294 | recitation | n. 背诵；朗诵；详述；背诵的诗
295 | atrocity | n. 暴行；凶恶，残暴
296 | wield | v. 使用；行使；挥舞
297 | speculate | v. 推测；投机；思索
298 | wittingly | adv. 有意地，存心地
299 | maintain | v. 维持；继续；维修；主张；供养
300 | lucubration | n. 刻苦钻研；苦心而成的著作
301 | malediction | n. 坏话，诅咒
302 | vindicate | v. 维护；证明…无辜；证明…正确
303 | invidious | adj. 诽谤的；不公平的；引起反感的；易招嫉妒的
304 | melodious | adj. 悦耳的；旋律优美的
305 | fluid | adj. 流动的；流畅的；不固定的 n. 流体；液体
306 | insidious | adj. 阴险的；隐伏的；暗中为害的；狡猾的
307 | concurrent | adj. 并发的；一致的；同时发生的 n. [数] 共点；同时发生的事件
308 | appeal | v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
309 | derelict | adj. 玩忽职守的；无主的；被抛弃了的 n. 遗弃物；玩忽职守者；被遗弃的人
310 | despoil | v. 掠夺，剥夺；夺取
311 | derive | v. 源于；得自；获得 n. (Derive)人名；(法)德里夫
312 | nonplus | n. 迷惑；困惑 v. 使困惑
313 | charter | v. 特许；包租；发给特许执照 n. 宪章；执照；特许状
314 | futile | adj. 无用的；无效的；没有出息的；琐细的；不重要的
315 | undervalue | v. 低估之价值；看轻
316 | jaded | adj. 厌倦的；疲倦不堪的 v. 厌倦（jade的过去分词）；变得疲倦；精疲力竭
317 | omnivore | n. [动] 杂食动物；不偏食的人
318 | fuse | v. 融合；熔化，熔融 n. 保险丝，熔线；导火线，雷管
319 | nauseate | v. 作呕；厌恶；产生恶感
320 | distend | v. 使…膨胀；使…扩张
321 | superlative | adj. 最高的；最高级的；过度的 n. 最高级；最好的人；最高程度；夸大话
322 | scurrilous | adj. 下流的；说话粗鄙恶劣的；无礼的
323 | advocate | v. 提倡，主张，拥护 n. 提倡者；支持者；律师
324 | eliminate | v. 消除；排除
325 | posit | v. 安置；假定 n. 假设；设想
326 | artifice | n. 诡计；欺骗；巧妙的办法
327 | diabolical | adj. 恶魔的
328 | lively | adj. 活泼的；生动的；真实的；生气勃勃的 n. (Lively)人名；(英)莱夫利
329 | malicious | adj. 恶意的；恶毒的；蓄意的；怀恨的
330 | rue | v. 后悔；悲伤 n. 芸香；后悔
331 | vitiate | v. 损害，弄坏；使无效；污染
332 | superintend | v. 监督；管理；主管；指挥
333 | ancillary | adj. 辅助的；副的；从属的 n. 助手；附件
334 | odds | n. 几率；胜算；不平等；差别
335 | significant | adj. 重大的；有效的；有意义的；值得注意的；意味深长的 n. 象征；有意义的事物
336 | preordain | v. 注定；预先决定
337 | sagacious | adj. 睿智的，聪慧的；有远见的，聪慧的
338 | graduate | v. 授予…学位；分等级；标上刻度 n. 研究生；毕业生 adj. 毕业的；研究生的
339 | bibliophile | n. 藏书家；爱书的人
340 | autonomous | adj. 自治的；自主的；自发的
341 | conjugal | adj. 婚姻的；结婚的；夫妻之间的
342 | negligible | adj. 微不足道的，可以忽略的
343 | heedful | adj. 注意的；深切注意的；深切留心的
344 | scrutiny | n. 详细审查；监视；细看；选票复查
345 | retract | v. 缩回；缩进；取消 n. 收缩核
346 | sensitive | adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 n. 敏感的人；有灵异能力的人
347 | sarcasm | n. 讽刺；挖苦；嘲笑
348 | bridle | n. 缰绳；马勒；系带；约束物 v. 控制；给装马勒
349 | transposition | n. [数] 移项；调换；换置；变调
350 | premonition | n. 预告；征兆
351 | paralysis | n. 麻痹；无力；停顿
352 | metabolism | n. [生理] 新陈代谢
353 | fretful | adj. 焦躁的；烦燥的；起波纹的
354 | dilapidate | v. 毁坏；荒废；浪费
355 | emergence | n. 出现，浮现；发生；露头
356 | belabor | v. 痛打；抨击；过度说明；反复讨论
357 | medium | adj. 中间的，中等的；半生熟的 n. 方法；媒体；媒介；中间物
358 | perverse | adj. 堕落的，不正当的；倔强的；违反常情的
359 | gland | n. 腺
360 | reliance | n. 信赖；信心；受信赖的人或物
361 | aviary | n. 鸟类饲养场；大型鸟舍
362 | panegyric | n. 颂词，赞颂
363 | obviate | v. 排除；避免；消除
364 | debilitate | v. 使衰弱；使虚弱
365 | biased | adj. 有偏见的；结果偏倚的，有偏的
366 | condone | v. 宽恕；赦免
367 | scruple | n. 微量；顾虑；踌躇 v. 有顾忌；踌躇
368 | wrest | v. 用力拧；抢夺；歪曲 n. 扭，拧
369 | infuse | v. 灌输；使充满；浸渍
370 | timbre | n. [声] 音色；音质；音品
371 | impute | v. 归罪于，归咎于；嫁祸于
372 | spineless | adj. 没有骨气的；无脊椎的；懦弱的
373 | infuriate | v. 激怒；使大怒 adj. 狂怒的
374 | emergency | n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
375 | unaffected | adj. 不受影响的；自然的；真挚的；不矫揉造作的
376 | bowler | n. 圆顶礼帽；投球手；玩滚球的人
377 | grasshopper | n. 蚱蜢；[植保] 蝗虫；小型侦察机 vi. 见异思迁；蚱蜢似地跳
378 | clandestine | adj. 秘密的，私下的；偷偷摸摸的
379 | pinnacle | n. 高峰；小尖塔；尖峰；极点 v. 造小尖塔；置于尖顶上；置于高处
380 | proclaim | v. 宣告，公布；声明；表明；赞扬
381 | gruff | adj. 粗暴的；粗哑的；脾气坏的 vt. 粗鲁地说；生硬地说 vi. 粗鲁地说；生硬地说话 n. 格拉夫（英国珠宝品牌）
382 | aptitude | n. 天资；自然倾向；适宜
383 | radiance | n. 辐射；光辉；发光；容光焕发
384 | deplore | v. 谴责；悲悼；哀叹；对…深感遗憾
385 | morality | n. 道德；品行，美德
386 | literary | adj. 文学的；书面的；精通文学的
387 | ion | n. [化学] 离子
388 | gesticulation | n. 手势；姿势；示意动作
389 | preeminence | n. 卓越；杰出
390 | clamorous | adj. 吵闹的；大声要求的
391 | enthrall | v. 迷住，使着迷
392 | complacent | adj. 自满的；得意的；满足的
393 | collaborate | v. 合作；勾结，通敌
394 | solicitude | n. 焦虑；渴望；担心
395 | prim | adj. 拘谨的；整洁的；呆板的 v. 使显得一本正经；把…打扮得整整齐齐 n. (Prim)人名；(法、德、匈、捷、瑞典、西、葡)普里姆
396 | aboriginal | adj. 土著的；原始的 n. 土著居民；土生生物
397 | soothe | v. 安慰；使平静；缓和
398 | elusive | adj. 难懂的；易忘的；逃避的；难捉摸的
399 | kiosk | n. 凉亭；公用电话亭；报摊
400 | discretionary | adj. 任意的；自由决定的
401 | gallop | n. 疾驰；飞奔 v. 飞驰；急速进行；急急忙忙地说
402 | flux | n. [流][机] 流量；变迁；不稳定；流出 v. 使熔融；用焊剂处理
403 | repulse | v. 拒绝；驱逐；憎恶 n. 拒绝；击退
404 | spheroid | n. 球状体；回转椭球体
405 | dominance | n. 优势；统治；支配
406 | insure | v. 确保，保证；给…保险
407 | assimilate | v. 吸收；使同化；把…比作；使相似
408 | dismissal | n. 解雇；免职
409 | irk | v. 使烦恼；使厌倦
410 | acute | adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的
411 | Oxygen | n. [化学] 氧气，[化学] 氧
412 | breach | n. 违背，违反；缺口 v. 违反，破坏；打破
413 | pursue | v. 继续；从事；追赶；纠缠
414 | suasion | n. 说服，劝告
415 | accessory | n. 配件；附件；[法] 从犯 adj. 副的；同谋的；附属的
416 | commentary | n. 评论；注释；评注；说明
417 | repository | n. 贮藏室，仓库；知识库；智囊团
418 | terrestrial | adj. 地球的；陆地的，[生物] 陆生的；人间的 n. 陆地生物；地球上的人
419 | strenuous | adj. 紧张的；费力的；奋发的；艰苦的；热烈的
420 | atrocious | adj. 凶恶的，残暴的
421 | adoration | n. 崇拜；爱慕
422 | corroborate | v. 证实；使坚固
423 | successive | adj. 连续的；继承的；依次的；接替的
424 | plague | n. 瘟疫；灾祸；麻烦；讨厌的人 v. 折磨；使苦恼；使得灾祸
425 | methane | n. [有化] 甲烷；[能源] 沼气
426 | tremulous | adj. 胆小的；战栗的；震颤的
427 | ravine | n. 沟壑，山涧；峡谷
428 | counter | n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码 v. 反击，还击；反向移动，对着干；反驳，回答 adj. 相反的 adv. 反方向地；背道而驰地
429 | differentiation | n. 变异，[生物] 分化；区别
430 | reign | v. 统治；支配；盛行；君临 n. 统治；统治时期；支配
431 | accompaniment | n. 伴奏；伴随物
432 | ire | n. 忿怒 vt. 使发怒
433 | charge | n. 费用；电荷；掌管；控告；命令；负载 v. 使充电；使承担；指责；装载；对…索费；向…冲去
434 | disdain | n. 蔑视 v. 鄙弃
435 | trajectory | n. [物] 轨道，轨线；[航][军] 弹道
436 | incomprehensible | adj. 费解的；不可思议的；无限的
437 | stultify | v. 使变无效；使显得愚笨；使无价值
438 | artistic | adj. 艺术的；风雅的；有美感的
439 | surfeit | n. 过度；饮食过度；恶心（由于饮食过度所引起） v. 使饮食过度；使厌腻；使过度沉溺于
440 | gloomy | adj. 黑暗的；沮丧的；阴郁的
441 | implausible | adj. 难以置信的，不像真实的
442 | espouse | v. 支持；嫁娶；赞成；信奉
443 | zero | n. 零点，零度 num. 零
444 | residue | n. 残渣；剩余；滤渣
445 | outgoing | adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的 n. 外出；流出；开支 v. 超过；优于（outgo的ing形式）
446 | litigant | n. 诉讼当事人 adj. 诉讼的
447 | apparition | n. 幽灵；幻影；鬼怪；离奇出现的东西
448 | chronological | adj. 按年代顺序排列的；依时间前后排列而记载的
449 | vapid | adj. 无趣味的；无生气的；索然乏味的
450 | stock | n. 股份，股票；库存；血统；树干；家畜 adj. 存货的，常备的；平凡的 v. 进货；备有；装把手于…
451 | reform | n. 改革，改良；改正 v. 改革，革新；重新组成 adj. 改革的；改革教会的
452 | fervent | adj. 热心的；强烈的；炽热的；热烈的
453 | bilateral | adj. 双边的；有两边的
