ID|word|meaning
63 | symmetry | n. 对称(性)
64 | helmet | n. 头盔,钢盔
65 | time | n. 时间；钟点，时刻；次，回
66 | view | n. 观点，意见；视力；视野；视线；风景，美景；风景照；风景画 v. 认为；观察;认为
67 | receipt | n. 收据,收条；收到,接到
68 | management | n. 经营,管理；管理层；管理（方式）
69 | perfect | adj. 完美的；完全的 v. 使完美
70 | conductor | n. 指挥；售票员；导体
71 | objective | n. 目标,目的 adj. 客观的,真实的
72 | beverage | n. (水，酒等之外的)饮料
73 | manipulate | v. 操纵，控制；(熟练地)使用，操作；(巧妙地)处理
74 | counterpart | n. 对应的人(或物)
75 | persecute | v. 迫害
76 | marital | adj. 婚姻的,夫妻之间的
77 | spiral | adj. 螺旋形的 n. 螺旋，螺线 v. 螺旋上升；盘旋
78 | designate | v. 任命,指派；标明,表示
79 | provide | v. 提供,供应,供给；规定
80 | symposium | n. 讨论会,专题报告会；专题论文集
81 | technical | adj. 技术(性)的，工艺的；专业性的
82 | individual | adj. 个别的,单独的；独特的 n. 个人,个体
83 | present | adj. 出席的；现在的 n. 礼物；现在 v. 赠送；提出
84 | mercury | n. 水银,汞
85 | level | n. 水平，水准；等级 v. 弄平，铺平 adj. 水平的
86 | simply | adv. 简直；仅仅,只是；朴素地
87 | excursion | n. 短途旅行,游览
88 | bandage | n. 绷带 v. 用绷带扎缚
89 | gene | n. 基因
90 | recycle | v. 再循环,重复利用
91 | president | n. 总统；总裁,校长,会长,主席
92 | sensible | adj. 明智的,合理的；可觉察的,明显的
93 | bare | adj. 赤裸的；空的 v. 露出,暴露
94 | definition | n. 定义,解释；(轮廓影像等的)清晰度
95 | reception | n. 欢迎，接待；反响；招待会；接受,接收效果
96 | prince | n. 王子；亲王
97 | distract | v. 分散;使分心
98 | accommodate | v. 向…提供住处
99 | secretary | n. 秘书,书记；部长,大臣
100 | county | n. (英国)郡,(美国)县
101 | presence | n. 出席,到场,存在
102 | pardon | n. 原谅,宽恕 interjection. 请重复一遍 v. 赦免
103 | merry | adj. 欢乐的,愉快的
104 | convert | v. 变换,转换；改变（信仰等）
105 | limit | n. 限度，极限 v. (to)限制,限定
106 | cover | v. 覆盖；包括,涉及 n. (书的)封面；盖子,套子
107 | evident | adj. 明显的,明白的
108 | criminal | n. 罪犯,刑事犯 adj. 犯罪的,刑事的
109 | signify | v. 表示,意味；要紧,有重要性
110 | beside | prep. 在...旁边，在...附近；和...相比
111 | manual | adj. 手工的,体力的 n. 手册,指南
112 | dorm | n. 同dormitory,宿舍
113 | circus | n. 马戏团,杂技团;马戏场,杂技场
114 | bathroom | n. 浴室;盥洗室,卫生间
115 | romantic | adj. 浪漫的；传奇式的；不切实际的,好幻想的
116 | reform | v. 改革,改造,改良 n. 改革,改造,改良
117 | acre | n. 英亩；田地；地产
118 | universe | n. 宇宙,万物
119 | execute | v. 处死；实行;实施;执行;履行；完成
120 | inspire | v. 鼓舞,激起；使产生灵感
121 | timid | adj. 胆怯的,怯懦的
122 | sideways | adv&adj. 向旁边(的),侧身,横着(的),斜着(的)
123 | controversial | adj. 引起争论的,有争议的
124 | captive | n. 俘虏 adj. 被俘虏的,被监禁的
125 | expansion | n. 扩张,膨胀;张开,伸展
126 | discourse | n. 演说；谈话；话语 v. 讲述,著述
127 | finance | n. 财政,金融 v. 为…提供资金
128 | contact | n. 联系,交往；接触 v. 联系
129 | criticism | n. 批评，指责，非难；评论性的文章，评论
130 | motive | n. 动机,目的 adj. 发动的,运动的
131 | pregnant | adj. 怀孕的；富有意义的
132 | magnify | v. 放大,扩大；夸大,夸张
133 | approval | n. 批准，通过；赞成，同意
134 | parasite | n. 寄生虫,食客
135 | extraordinary | adj. 异乎寻常的；令人惊奇的；非凡的，出色的
136 | closet | n. (壁)橱 v. 把…引进密室会谈；把…关在小房间里
137 | slow | adj. 慢的,不活跃的 v. (down)(使)放慢,减速
138 | possess | v. 拥有
139 | daytime | n. 白天,日间
140 | common | adj. 常见的，普遍的；共同的 n. 公地
141 | marriage | n. 结婚,婚姻；结婚仪式
142 | particle | n. 微粒,极小量；粒子
143 | diagnose | v. 诊断(疾病)；判断(问题)
144 | assignment | n. 任务；作业
145 | concert | n. 音乐会,演奏会
146 | centimetre | n. (centimeter)厘米
147 | herd | n. 群,兽群,牛群 v. 群集；放牧
148 | expect | v. 预期；期望,指望
149 | incidence | n. 发生率
150 | monster | n. 怪物,妖怪,畸形的动植物
151 | mobilize | v. (mobilise)动员,赋予可动性；赋予可动性
152 | prove | v. 证明,证实；证明是，结果是,表明是
153 | advantage | n. 有利条件，优势；好处，优点
154 | fragment | n. 碎片,小部分,片断
155 | consume | v. 消耗；消费；吃；喝
156 | arithmetic | n. 算术，四则运算
157 | fisherman | n. 渔夫，捕鱼人
158 | succeed | v. 成功；接替；继…之后
159 | locate | v. 查出,探出,查找…地点；使…坐落于,位于
160 | portion | n. 一部分,一份
161 | capsule | n. 胶囊；太空舱
162 | low | adj. 低，矮；低级的，下层的，卑贱的；低声的
163 | represent | v. 代表,代理；描述,表示
164 | competent | adj. 有能力的，能胜任的
165 | vacuum | n. 真空
166 | manifest | v. 表明,证明,显示 adj. 明显的
167 | evolve | v. 进化；(使)发展;(使)进展
168 | furniture | n. 家具
169 | composition | n. 组成,成分；〔音乐、诗歌或文字〕作品；作文
170 | director | n. 导演；指导者,主任
171 | manager | n. 经理,管理人
172 | synthesis | n. (pl.syntheses)综合,合成
173 | conspicuous | adj. 显眼的,明显的
174 | tempo | n. (音乐的)速度；节奏,行进速度
175 | thermometer | n. 温度计
176 | intelligence | n. 智力,聪明;理解力；情报,消息,报导
177 | ecology | n. 生态学
178 | doom | n. 厄运,劫数 v. 注定,命定
179 | insulate | v. 使绝缘,使绝热；隔离,孤立
180 | March | n. 三月(略作 Mar.)
181 | policy | n. 政策,方针
182 | pronoun | n. 代词
183 | astronomy | n. 天文学
184 | conduct | n. 行为,品行 v. 指挥(乐队)；传导；引导
185 | fiction | n. 小说；虚构,编造
186 | specimen | n. 标本,样本
187 | successful | adj. 圆满的；顺利的；成功的
188 | architecture | n. 建筑学；建筑风格，建筑设计
189 | department | n. 部,局,处,科,部门;系,学部
190 | blow | v. 吹；〔风〕吹，刮；吹奏 n. 打击
191 | dignity | n. (举止,态度等的)庄严,端庄；尊贵，尊严
192 | fur | n. 毛,毛皮
193 | pray | v. 祈祷,祈求；请求,恳求,祈求
194 | carrot | n. 胡萝卜
195 | contemplate | v. 考虑；深思；细想；注视，凝视
196 | gradual | adj. 逐渐的,逐步的
197 | advisable | adj. 可取的，适当的，明智的
198 | report | n. 报告,汇报 v. 报道
199 | upgrade | v. 提升,使升级
200 | temperament | n. 气质，性格，性情
201 | generation | n. 文释义：一代人；产生
202 | discovery | n. 被发现的事物；发现
203 | barrier | n. 障碍；栅栏,障碍(物)
204 | review | v. 回顾,复习 n. 评论
205 | model | n. 模型；样式,型号；模特 v. 当模特；作为模特向顾客展示
206 | invite | v. 邀请,招待
207 | congratulation | n. (on)祝贺
208 | dividend | n. 红利，股息
209 | separate | adj. 分离的,分开的
210 | superficial | adj. 肤浅的,浅薄的；表面的
211 | precise | adj. 精确的,准确的
212 | hollow | adj. 空的,中空的;；空洞的,无价值的 v. 使〔表面〕凹陷,挖空,凿空
213 | member | n. 成员,会员
214 | sometimes | adv. 不时，有时，间或
215 | discover | v. 发现
216 | recipient | adj. 接受的,感受性强的 n. 接受者
217 | spokesman | n. 发言人
218 | circumstance | n. 情况，情形
219 | agent | n. 代理人；代理商
220 | indispensable | adj. (to,for)必不可少的,必需的
221 | appreciate | v. 为...表示感激，感谢；欣赏，赏识
222 | monthly | adj. 每月的 adv. 每月一次,按月 n. 月刊
223 | amid | prep. 在…中间，在…之中，被…围绕
224 | isolate | v. 隔离,孤立
225 | poll | n. 民意测验 v. 获得…选票
226 | cognitive | adj. 认知的，认识能力的
227 | sequence | n. 顺序，次序
228 | concept | n. 概念，观念，设想
229 | solve | v. 解决,解答
230 | barren | adj. 贫瘠的；不育的；(植物)不结果的
231 | revolve | v. (使)旋转
232 | circuit | n. 环行,环形道路；电路,线路
233 | fraction | n. 小部分,一点儿；分数
234 | sane | adj. 心智健全的,神志清醒的；明智的
235 | carry | v. 运送,搬运
236 | membership | n. 会员资格,成员资格
237 | geology | n. 地质(学)
238 | certain | adj. 一定的,确信的,可靠的
239 | indicate | v. 表明，显示；指出,指示；表明,暗示
240 | monotonous | adj. 单调的,无变化的
241 | miracle | n. 奇迹,令人惊奇的人(或事)
242 | deduct | v. 扣除
243 | produce | v. 引起，导致；制造；制作；创作 n. 产品
244 | temptation | n. 引诱，诱惑；诱惑物
245 | prospect | n. 前途,展望；前景
246 | simultaneous | adj. 同时的,同时存在的
247 | subsidy | n. 补助金；津贴费
248 | underestimate | v. 低估，看轻
249 | obligation | n. 义务,责任
250 | sample | n. 样品,标本,抽样检查 v. 取样,采样
251 | manufacture | v. 制造,加工 n. 制造,制造业
252 | interval | n. 间隔,间歇
253 | action | n. 行动；行为；战斗
254 | increasingly | adv. 不断增加地,日益
255 | confuse | v. 使混乱,混淆
256 | base | n. 基础,底部；根据地 v. (on)把…基于
257 | evolution | n. 进化,演变；发展,进展
258 | exclude | v. 拒绝,把…排除在外；排斥
259 | barn | n. 谷仓,仓库
260 | legislation | n. 法律(规)；立法
261 | simple | adj. 简单的；迟钝的,头脑简单的
262 | pension | n. 养老金,年金
263 | parade | n. 游行；检阅,阅兵式 v. 游行；列队行进
264 | prescription | n. 药方,处方
265 | heroic | adj. 英雄的，英勇的，崇高的
266 | modest | adj. 谦虚的
267 | finite | adj. 有限的
268 | obscure | adj. 模糊的,晦涩的；暗的,朦胧的
269 | basement | n. 建筑物的底部,地下室,地窖
270 | information | n. 情报,资料,消息;信息
271 | doctor | n. 医生；博士 v. 窜改，伪造
272 | urban | adj. 城市的, 市内的
273 | preliminary | adj. 预备的,初步的
274 | viewpoint | n. 观点
275 | verdict | n. (陪审团的)裁决,判决；判断；定论
276 | apartment | n. [英]房间，套间；[美]公寓
277 | concrete | adj. 混凝土的；具体的 n. 混凝土
278 | verge | n. 边,边缘 v. 濒临
279 | education | n. 教育,培养
280 | combat | n. 战斗,搏斗,格斗 v. 防止，抑制
281 | marble | n. 大理石,云石
282 | medal | n. 奖章,勋章,纪念章
283 | cycle | n. 周期,循环；自行车 v. 骑自行车；循环
284 | careful | adj. 小心的,仔细的;细致的,精心的
285 | biology | n. 生物学
286 | classification | n. 分类,分级
287 | intelligible | adj. 可理解的，明白易懂的，清楚的
288 | unexpected | adj. 想不到的, 意外的, 未预料到
289 | economy | n. 经济；节约
290 | discreet | adj. (言行)谨慎的；慎重的
291 | prison | n. 监狱
292 | finger | n. 手指；指状物
293 | captain | n. 舰长，船长；机长 v. 做…的首领,指挥
294 | sign | n. 标记,招牌；征兆,迹象 v. 签名(于),署名(于)
295 | event | n. (尤指特殊、重大) 事件
296 | inverse | adj. 相反的,倒转的,反转的 n. 相反之物
297 | accidental | adj. 偶然的；意外的；无意中的
298 | certainty | n. 必然,肯定;必然的事
299 | refine | v. 改进；完善；精炼,精制,提纯
300 | spectrum | n. 范围，幅度；光谱
301 | propose | v. 提议,建议；提出；求婚
302 | recollect | v. 回忆,想起,记起,忆起,记得
303 | allow | v. 允许，准许；承认
304 | custom | n. 习惯,风俗,惯例；(pl.)海关
305 | temple | n. 庙宇,神殿,寺；太阳穴
306 | equivalent | adj. (to)相等的,等价的 n. 相等物,等价物
307 | discount | n. 折扣 v. 不重视；打折扣
308 | comparative | adj. 比较的,相比的
309 | dictionary | n. 词典,字典
310 | design | v. 设计;构思;绘制 n. 设计；图样
311 | congress | n. (代表)大会；国会,议会
312 | vertical | adj. 垂直的,竖的 n. 垂线,垂直位置
313 | indignant | adj. 愤慨的,愤慨不平的
314 | entertain | v. 招待,款待；使娱乐;使欢乐
315 | efficiency | n. 效率；功效
316 | loyalty | n. 忠诚
317 | volcano | n. 火山
318 | negligible | adj. 可忽略不计的，微不足道的
319 | specification | n. (常pl.)规格,说明书,规范
320 | gentleman | n. 绅士,先生
321 | preclude | v. 排除,阻止,妨碍
322 | apart | adv&adj. 〔空间〕分开（的），相距（的），相隔（的）
323 | anonymous | adj. 匿名的，无名的，姓氏不明的
324 | consider | v. 考虑，细想；认为；体谅，顾及
325 | consecutive | adj. 连续的；连贯的；顺序的
326 | spectacular | adj. 壮观的,引人注目的 n. 壮观的演出
327 | directly | adv. 直接地,径直地；马上,立即
328 | economics | n. 经济学
329 | act | v. 行动，做事；表现；表演 n. 行为；法令
330 | compensation | n. 补偿费，赔偿金
331 | accountant | n. 会计人员，会计师
332 | resolute | adj. 坚决的,果断的
333 | sympathize | v. (sympathise)(with)同情;共鸣,同感
334 | coherent | adj. 一致的，协调的；(话语等)条理清楚的
335 | terminal | adj. 晚期的 n. 终点(站)
336 | aside | adv. 在旁边，到一边 n. 旁白；离题的话
337 | criticize | v. 批评；指责；评论
338 | generalize | v. (generalise)归纳,概括；推广,普及
339 | assistant | adj. 帮助的，辅助的 n. 助手，助理，副手
340 | consent | n. 同意,赞成,答应 v. (to)同意，允许
341 | magnificent | adj. 华丽的,高尚的,宏伟的
342 | purpose | n. 目的,意图,用途,效果
343 | partly | adv. 部分地,不完全地,在一定程度上
344 | participate | v. (in)参与,参加
345 | assimilate | v. 吸收，消化；被吸收；被同化
346 | appetite | n. 食欲，胃口；欲望
347 | revenue | n. 财政收入；税收
348 | sentence | n. 句子；判决,宣判 v. 宣判,判决
349 | dome | n. 圆屋顶
350 | fact | n. 事实,实际
351 | side | n. 边，面，侧 v. 支持
352 | namely | adv. 即,也就是
353 | actual | adj. 实际的，真实的
354 | escape | n. 逃跑,逃脱 v. 避开，逃避
355 | provoke | v. 激起，引起；激怒，挑衅，使恼火
356 | battle | n. 战役,战斗;斗争 v. 战斗,斗争,搏斗
357 | timber | n. 木材,木料
358 | efficient | adj. 有效的,效率高的;有能力的,能胜任的
359 | device | n. 装置,设备,仪表
360 | company | n. 公司；陪伴；宾客；(一)群,队,伙
361 | infect | v. 传染；影响
362 | advent | n. (重要事件等的)到来，来临
363 | visible | adj. 看得见的, 明显的, 显著的
364 | money | n. 货币,钱
365 | hesitate | v. 犹豫,踌躇
366 | exceed | v. 超过,胜过；越出 (限制、规定)
367 | meditate | v. 想,考虑；(尤指宗教上的)沉思,冥想
368 | prosecute | v. 指控，公诉；起诉，告发；继续从事
369 | visit | n. 访问,参观 v. 访问,参观；视察
370 | valley | n. (山)谷;流域
371 | acrobat | n. 特技演员，杂技演员
372 | exceedingly | adv. 极端地,非常
373 | supermarket | n. 超级市场
374 | polite | adj. 有礼貌的,客气的;有教养的,文雅的
375 | particular | adj. 特定的，特指的；特殊的，特别的；讲究的；挑剔的 n. 细节，详情
376 | degenerate | v. 衰退,堕落,蜕化 adj. 堕落的 n. 堕落者
377 | eligible | adj. 符合条件的；(尤指婚姻等)合适(意)的
378 | incur | v. 招致,惹起,遭受
379 | occupation | n. 职业,工作；占领,占据
380 | apology | n. 道歉，认错
381 | malignant | adj. 恶性的，致命的；恶意的，恶毒的
382 | fragrant | adj. 香的;芬芳的
383 | contempt | n. 轻视，藐视；受辱，丢脸
384 | assembly | n. 议会；集合；装配
385 | transform | v. 改变,改造
386 | article | n. 文章，论文；物件；条款
387 | disperse | v. 分散；驱散；（使）〔某物〕消散
388 | progress | n. 进步，进展；稳步前进 v. 进步，进展
389 | suffice | v. 充足，足够
390 | close | v. 关；结束 n. 结束 adj. 近的；紧密的 adv. 近地；紧密地
391 | apparent | adj. 显然的,明明白白的；表面上的
392 | tin | n. 锡；罐头 adj. 锡制的
393 | parcel | n. 包裹,邮包 v. 打包,捆扎
394 | eloquent | adj. 雄辩的,有说服力的;善辩的,口才流利的
395 | shepherd | n. 牧民,牧羊人
396 | inject | v. 注射(药液等)；注入
397 | accelerate | v. 使加速，使增速，促进；加速
398 | prescribe | v. 指示,规定；处(方),开(药)
399 | metric | adj. 米制的,公制的
400 | resume | n. 个人简历 v. 再继续；重新开始
401 | barrel | n. 桶；枪管,炮管
402 | metal | n. 金属,金属制品
403 | metaphor | n. 隐喻，暗喻
404 | priority | n. 优先,重点,优先权
405 | diligent | adj. 勤奋的,用功的
406 | barber | n. 理发师
407 | advance | n. 预付款；(常指军事行动中的) 前进 v. 前进，推进〔尤指士兵〕；进展
408 | princess | n. 公主,王妃
409 | memo | n. 备忘录
410 | refusal | n. 拒绝,回绝
411 | artistic | adj. 艺术(家)的，美术(家)的；善于艺术创作的
412 | console | n. 控制台，仪表板 v. 安慰，慰问
413 | tempt | v. 诱惑，引诱，诱使
414 | impose | v. 把 (观点、信仰等) 强加于；强制推行；强制实行
415 | concise | adj. 简明的,简洁的
416 | communicate | v. 沟通
417 | certify | v. 证明，证实；发证书(或执照)给
418 | comparison | n. 比较,对比
419 | mode | n. 方式,式样
420 | compartment | n. 隔层；分隔间
421 | consideration | n. 考虑,思考；需要考虑的事；体谅,照顾
422 | react | v. 反应,起作用；反对,反抗；起反作用,起不良反应
423 | proceed | v. 继续进行，继续做
424 | determine | v. 查明,测定,确定；决心,决定
425 | adequate | adj. 充足的，足够的
426 | catastrophe | n. 大灾难
427 | directory | n. 人名地址录,(电话)号码簿
428 | fellowship | n. 伙伴关系,友情,友谊；团体
429 | merchant | n. 商人；批发商
430 | humidity | n. 湿气,湿度
431 | cat | n. 猫
432 | version | n. 版本,变体,译本,译文;
433 | reporter | n. 报告人,通讯员;记者,报导者
434 | vanish | v. 突然不见;消失
435 | nominal | adj. 名义上的
436 | noun | n. 名词
437 | portable | adj. 轻便的,手提(式)的,可移动的
438 | reverse | n. 相反;背面 adj. 相反的 v. 颠倒,倒转
439 | factory | n. 工厂
440 | accurate | adj. 正确无误的，准确的，精确的；精确的
441 | portrait | n. 肖像,画像
442 | detector | n. 侦察器,探测器,检波器,检电器
443 | fellow | n. 人,家伙；伙伴,同事 adj. 同样的,同事的
444 | greeting | n. 问候,致敬
445 | acid | n. 酸,酸性物质 adj. 酸的,酸味的；尖刻的
446 | customary | adj. 惯例的；习惯的
447 | modernization | n. (modernisation)现代化
448 | parallel | adj. 平行的；相同的,类似的
449 | police | n. 警察,警察机关 v. 管辖
450 | departure | n. 离开,起程
451 | carrier | n. 搬运物，运输工具
452 | manuscript | n. 手稿,原稿
453 | fine | adj. 晴朗的,美好的,细致的 v. 对…处以罚款 n. 罚金,罚款
454 | impart | v. 赋予，给予；传授，告知
455 | advise | v. 忠告，劝告，建议；通知，告知
456 | recede | v. 退〔水〕消退，退去
457 | economic | adj. 经济(上)的,经济学的
458 | bulletin | n. 公报,公告,告示
459 | formula | n. 公式；分子式；准则；方案
460 | tomb | n. 坟,冢
461 | volunteer | n. 志愿者 v. 自愿；主动提供(信息)
462 | coincide | v. 同时发生；巧合；一致；相符；
463 | clothing | n. 服装,被褥
464 | her | pron. [she的宾格]她 determiner. [she的所有格]她的
465 | emotion | n. 情绪,情感,感情
466 | ceremony | n. 典礼,仪式；礼节,礼仪
467 | accompany | v. 陪伴，陪同,伴随；伴奏
468 | discrepancy | n. 差异,不符
469 | logical | adj. 逻辑的,符合逻辑的
470 | venture | v. 冒险 n. 冒险事业
471 | cream | n. 乳脂,(鲜)奶油；奶油色
472 | precede | v. 先于；走在…之前
473 | retain | v. 保持,保留
474 | occupy | v. 占,占用；占据,占领；使忙碌,使从事
475 | airport | n. 机场，航空站，航空港
476 | uncover | v. 揭开,揭露
477 | parameter | n. 参数; 界限
478 | average | n. 平均,平均数 adj. 平均的；普通的 v. 平均为
479 | versus | prep. 〔比赛或诉讼中〕对，诉，对抗；与…相对
480 | bat | n. 蝙蝠；球拍,球棒,短棒
481 | compose | v. 组成,构成;(of)由…组成；作曲
482 | domestic | adj. 本国的；家里的；驯养的
483 | victory | n. 胜利
484 | deceit | n. 欺骗,欺骗行为
485 | homogeneous | adj. 同种类的，同性质的，有相同特征的
486 | voluntary | adj. 自愿的,志愿的
487 | dissolve | v. (使)溶解,(使)融化；解散,取消
488 | light | n. 光；灯 v. 点燃；照亮 adj. 轻；淡；明亮
489 | parachute | n. 降落伞 v. 跳伞
490 | conclusion | n. 结论，推论；结尾；缔结，议定
491 | eject | v. 喷射,排出；驱逐
492 | nightmare | n. 恶梦；可怕的事物，无法摆脱的恐惧
493 | valid | adj. 有效的；有根据的;正当的
494 | elevate | v. 提拔,提升...的职位；举起
495 | select | v. 选择,挑选 adj. 精选的,选择的
496 | revenge | n. 报复,复仇 v. 替…报仇
497 | handicap | v. 妨碍 n. (身体或智力方面的)缺陷；不利条件
498 | evaporate | v. 蒸发,挥发
499 | financial | adj. 财政的,金融的
500 | remember | v. 记住
501 | predict | v. 预言,预测,预告
502 | waterproof | adj. 防水的,耐水的
503 | productivity | n. 生产率
504 | finally | adv. 最后,最终
505 | subtract | v. (from)减(去)
506 | direct | a&ad. 径直地 adj. 径直的 v. 管理,指导；(at,to)指向
507 | monetary | adj. 金融的,货币的
508 | approve | v. 批准，通过；(of)赞成，赞许，同意
509 | economical | adj. 节约的,经济的
510 | bankrupt | adj. 破产的 v. 使破产 n. 破产者
511 | objection | n. 异议,反对的理由；反对,不喜欢
512 | pale | adj. 苍白的,灰白的；浅的,暗淡的
513 | format | n. (出版物的)开本,版式,格式 v. 设计;安排
514 | voice | n. 声音;嗓音；意见,发言权;语态
515 | abdomen | n. 腹，下腹
516 | spicy | adj. 加很多香料的；(口味)浓郁的
517 | specify | v. 指定,详细说明
518 | modern | adj. 现代的,近代的；新式的
519 | prestige | n. 声望,威望,威信
520 | clothe | v. (给…)穿衣,供给…衣服
521 | lawyer | n. 律师
522 | enclosure | n. 围地，围场
523 | motor | n. 发动机,电动机
524 | addition | n. 增添，添加；附加部分，增加(物)；加法
525 | project | n. 方案,工程,项目 v. 投射,放映；设计,规划
526 | silver | n. 银;银器;银币 v. 镀银
527 | incorporate | v. 合并,纳入,结合 adj. 合并的
528 | evade | v. 逃避，回避；避开，躲避；回避
529 | sensitive | adj. 敏感的，容易生气的
530 | conventional | adj. 惯例的,常规的
531 | cut | v. 削减，删节；切，割，削 n. 切口，伤口
532 | intimate | adj. 亲密的,密切的 n. 熟友,熟人
533 | affect | v. 影响；(疾病)侵袭；感动
534 | chairman | n. 主席,议长,会长,董事长
535 | important | adj. 重要的,重大的；有地位的,有权力的
536 | mob | n. 暴民，乱民 v. 围攻
537 | demonstrate | v. 论证,证实；演示,说明
538 | basin | n. 盆,脸盆；盆地
539 | price | n. 价格,价钱；代价 v. 给…定价钱
540 | marginal | adj. 记在页边的,旁注的
541 | position | n. 姿势,姿态；位置；职位；处境,形势
542 | solid | adj. 固体的；结实的,稳固的；可靠的 n. 固体
543 | mobile | adj. 可动的,活动的,运动的
544 | identification | n. 身份证明(文件)；识别,鉴别
545 | convenience | n. 便利,方便
546 | logic | n. 逻辑,逻辑学
547 | immediate | adj. 立即的,即时的；最接近的；紧接的
548 | autonomy | n. 自治，自治权；
549 | crystal | n. 水晶,水晶饰品；结晶 adj. 水晶的,透明的
550 | local | adj. 地方的,当地的；局部的
551 | process | n. 过程,进程；工序,制作法,工艺 v. 加工；处理
552 | great | adj. 大量的；很好的；伟大的
553 | revolution | n. 革命
554 | ban | v. 取缔,查禁,禁止 n. 禁止,禁令
555 | competition | n. 竞争；比赛，竞赛
556 | marine | adj. 海洋的,海生的,海产的；船舶的；海军的
557 | significance | n. 重要性; 意义
558 | panic | n. 恐慌,惊慌 v. 使惊慌,使害怕
559 | satisfactory | adj. 令人满意的,圆满的,良好的,符合要求的
560 | factor | n. 因素,要素
561 | perspective | n. 观点,看法；透视画法,透视图因素,要素
562 | impetus | n. 推动(力),促进
563 | announce | v. 正式宣布,发表
564 | contract | n. 合同/契约 v. 订合同/契约；使缩小
565 | entertainment | n. 文娱节目；娱乐活动；招待,款待
566 | detective | n. 侦探
567 | radioactive | adj. 放射性的,放射引起的
568 | follow | v. 跟随；接着
569 | database | n. 数据库
570 | vigorous | adj. 朝气蓬勃的,精力旺盛的
571 | metropolitan | adj. 大城市的，大都会的
572 | include | v. 包括,包含
573 | herself | pron. [反身代词]她自己；她亲自，她本人
574 | summon | v. 召唤；传讯,传唤；鼓起(勇气),振作(精神)
575 | activate | v. 启动，激活；驱动，驱使；使开始起作用
576 | pyramid | n. 金字塔
577 | contain | v. 包含，容纳
578 | lure | n. 吸引力,魅力,诱惑物 v. 引诱，吸引
579 | cure | v. (of)治愈,医治 n. 治愈，治疗
580 | lower | adj. 下面的，下方的 v. 降下,放低
581 | detain | v. 耽搁；扣押,拘留
582 | modify | v. 更改,修改
583 | encounter | v. 遇到,遭遇 n. 遭遇；经历
