ID|word|meaning
364|route|n.路线,途径
365|biology|n.(生物)学
366|career|n.事业,生涯
367|darkness|n.黑暗,漆黑
368|eloquent|a.雄辩的,有口才的
369|rosy|a.蔷薇色的,玫瑰红色的,美好的
370|bundle|n.捆v.捆扎
371|luck|n.运气,好运
372|accomplishment|n.成就,完成
373|horsefly|n.马蝇
374|glassware|n.玻璃器具类
375|insulator|n.绝缘体,绝热器
376|glial|a.神经胶质的
377|plentifully|ad.丰富地,富裕地
378|coriander|n.[植]胡荽
379|cavity|n.洞,空穴
380|muscular|a.肌肉发达的,强壮的
381|contrast|v./n.对比,对照
382|inception|n.起初,获得学位
383|react|vi.起反应,起作用
384|aqueduct|n.沟渠,导水管,渡槽
385|mirage|n.海市蜃楼,幻想
386|supremacy|n.地位最高的人,至高,霸权
387|timber|n.木材,木料
388|surprise|n.惊奇.vt.使惊奇
389|bent|a.决心的,弯曲的.n.倾向,爱好
390|adjust|vt.调整,校准.vi.(to)适应
391|hold|v.拿,保持,掌握.n.控制,保留
392|dead|a.死的.n.死者
393|sick|a.有病的,恶心的
394|diviner|n.占卜者,占卦的人,预言者
395|scam|n.诡计.v.诓骗
396|cow|n.母牛
397|intercity|a.城市间的
398|enlarge|v.扩大,放大
399|september|n.九月(略作Sep)
400|interpersonal|a.人与人之间的,人际关系的
401|distinctive|a.有区别的,独特的
402|USA|abbr.美国(美利坚合众国)
403|rephrase|vt.改述,重新措辞
404|condor|n.[动]秃鹰,秃鹫
405|document|n.公文,文件.vt.记载
406|mythical|a.神话的,虚构的
407|hardwood|n.硬木,阔叶树
408|ghostly|a.可怕的,幽灵的
409|undisturbed|a.未受干扰的,安静的
410|library|n.图书馆
411|postulate|vt.要求,假定.n.基本条件,公理
412|bis|ad.二度,二回
413|depiction|n.描写,叙述
414|dandelion|n.蒲公英
415|cornet|n.圆锥形纸袋,短号
416|cent|n.(货币单位)分,分币
417|jurassic|a.侏罗纪的
418|historic|a.有历史意义的,历史的
419|collectible|a.可收集的,可代收的
420|familiar|a.熟悉的,常见的
421|worshipper|n.礼拜者
422|ox|n.牛,公牛
423|dash|n.冲撞,破折号.v.猛掷,冲撞
424|lucky|a.幸运的,吉祥的
425|conqueror|n.征服者,胜利者
426|credit|n.信任,信贷.vt.相信,信任
427|centigrade|a.摄氏的
428|elusive|a.难懂的,难捉摸的,逃避的
429|nest|n.巢,窝.v.筑巢
430|ghost|n.鬼,幽灵
431|ethic|n.道德规范
432|wipe|v.擦,揩
433|rhythmically|ad.有节奏地
434|dryness|n.干燥
435|slapstick|n.闹剧,趣剧
436|stimulate|vt.刺激,激励vi.起刺激作用
437|support|vt./n.支持,支撑,供养
438|dependably|ad.可信任地
439|textbook|n.教科书,课本
440|caribou|n.北美产驯鹿(=Rangifer)
441|payment|n.付款,报酬,偿还
442|millet|n.[植]稷,粟
443|karst|n.石灰岩地区常见的地形
444|rice|n.稻,米
445|restatement|n.再声明,重述
446|propensity|n.倾向,习性,癖好,偏爱
447|proficiently|ad.熟练地
448|embryonic|a.胚胎的,萌芽期的
449|disrupt|vt.使中断,扰乱
450|loess|n.黄土
451|religion|n.宗教,信仰
452|converse|vi.交谈.n.反面说法,逆命题.a.相反的
453|locally|ad.在本地,地方性地,局部地
454|sundial|n.日昝仪,日规
455|disadvantage|n.不利,缺点,劣势
456|nystatin|n.[微]制霉菌素
457|chapel|n.小教堂
458|organization|n.组织,机构,团体
459|tinplate|n.镀锡铁皮,马口铁
460|cycle|n.循环,周期.v.骑自行(摩托)车,循环
461|drum|n.鼓
462|weapon|n.武器
463|cut|v.切,割,剪,缩短.n.伤口
464|rubble|n.碎石
465|platform|n.站台,讲台
466|bow|n.弓,弓形,蝴蝶结.v.鞠躬,弯腰
467|rote|n.死记硬背
468|toxic|a.有毒的,中毒的
469|vein|n.静脉,血管
470|lopsided|a.倾向一方的,不平衡的
471|instance|n.实例,建议.vt.引证
472|Spanish|a./n.西班牙(的),西班牙人(的)
473|diagonal|n./a.对角线(的)
474|songwriter|n.歌曲作家,歌曲作者
475|bacteria|n.细菌
476|department|n.部,局,部门,系,科
477|stubbornness|n.倔强,顽强
478|carbonic|a.(含)碳的
479|existence|n.存在(物)
480|rely|v.依赖,依靠
481|inherent|a.固有的,与生俱来的
482|ratio|n.比,比率
483|syndrome|n.综合病症
484|set|n.(一)套.v.放置,设定
485|conspiracy|n.共谋,阴谋
486|urbanity|n.有礼貌,文雅,都市风格
487|relaxation|n.松弛,放宽
488|Georgia|n.(美)乔治亚州
489|painstaking|n.辛苦.a.辛苦的,辛勤的
490|would|v.aux.[will的过去式],将,愿意
491|variation|n.变化,变动
492|fortunate|a.幸运的,侥幸的
493|anomaly|n.不规则,异常的人或物
494|modification|n.更改,修改
495|nonetheless|ad.虽然如此,但是
496|tray|n.盘,碟
497|skillfully|ad.巧妙地,技术好地
498|Italy|n.意大利(欧洲南部国家)
499|offspring|n.儿女,子孙
500|determine|v.决定,确定,判决
501|guest|n.客人,来宾
502|tram|n.有轨电车
503|hurricane|n.飓风,狂风
504|inequality|n.不等式,不均等,不平衡
505|left-handed|a.惯用左手的
506|metalworker|n.金工工人
507|realism|n.现实主义,实在论
508|wartime|n.战时
509|shower|n.阵雨,淋浴
510|constrain|vt.强迫,限制
511|please|ad.请.v.使高兴,取悦
512|legendary|a.闻名的,传说的
513|pepper|n.胡椒粉
514|ploy|n.花招,手段
515|recurrence|n.复发,重现
516|lark|n.云雀,百灵鸟
517|civic|a.市的,市民的
518|solidly|ad.坚硬地,稳固地
519|philology|n.语言学,文献学
520|skin|n.皮肤.vt.剥皮
521|spillage|n.溢出,溢出量
522|concertina|n.类似风琴的六角形的乐器
523|gamma|n.100万分之1克,微克
524|abut|v.邻接,毗邻
525|manufacture|vt./n.制造,制造业[pl.]产品
526|silvery|a.含银的,银色光泽的
527|indebted|a.受惠的,负债的,感激的
528|low-intensity|a.低强度的
529|barren|a.不生育的,贫瘠的.n.荒地
530|reachable|a.可达成的,可获得的
531|extremity|n.极度,绝境
532|log|n.原木,航海日志.vt.正式记录
533|wholesaler|n.批发商
534|conveniently|ad.方便地,合宜地
535|updraft|n.上升气流
536|spell|vt.拼写.n.咒语,一段时间
537|driver|n.驾驶员,司机
538|somerset|n.翻筋斗.vi.翻筋斗
539|behalf|n.利益,代表
540|chipmunk|n.[动]花栗鼠
541|recurrent|a.再发生的,周期性的
542|sanctuary|n.避难所
543|close|v.关,(使)接近.a.近的.ad.接近地.n.结束
544|viennese|n./a.维也纳人（语）(的)
545|full|n.全部.a.充满的,完全的
546|refrigerator|n.电冰箱
547|holocene|n./a.[地]全新世(的)
548|tread|n.踏,步态.v.踏,跳
549|dating|n.约会.v.约会
550|nitric|a.[化]氮的,含氮的
551|proclivity|n.倾向,癖性
552|panhandle|n.狭长地带.v.乞讨
553|aristocratic|a.贵族政治的,贵族的
554|regardless|a.不管,不顾
555|weed|n.野草,杂草
556|impenetrable|a.不能穿过的,不可理喻的
557|vault|n.拱顶.v.做成弧形
558|conformity|n.一致,符合,遵守
559|optimum|n./a.最适宜(的),最佳效果
560|malfunction|n.故障.v.不起作用
561|physiological|a.生理(学)的
562|definitively|ad.决定性地,最后地
563|magnetism|n.磁,磁力,吸引力,磁学
564|luckily|ad.幸运地
565|tent|n.帐篷
566|perplex|vt.使困惑,使费解
567|render|vt.使得,提供,提供,翻译
568|labyrinth|n.迷路,迷宫,难解的事物
569|scan|n./v.扫描,浏览
570|wee|a.很少的,微小的
571|small-scale|a.小比例的,小规模的
572|bulldozer|n.推土机
573|control|n./v.控制,支配
574|antecedent|a.先行的.n.祖先
575|ostracize|vt.(古希腊)贝壳放逐法,放逐,排斥
576|projector|n.放映机,探照灯,投影仪,设计者
577|stately|a.庄严的,堂皇的
578|cite|vt.引用,引证,传讯,想起,表彰
579|sea|n.海,海域
580|eager|a.热心于,渴望着
581|cenozoic|n.新生代,新生代之岩层.a.新生界的
582|enthusiasm|n.热情,热衷
583|humble|a.卑下的,微贱的.vt.使...卑下,挫
584|congestion|n.拥塞,充血,拥挤
585|delta|n.三角州
586|acceptable|a.可接受的,合意的
587|imagination|n.想象(力)
588|thunder|n.雷,雷声
589|lade|v.装载,装货
590|betray|vt.出卖,背叛
591|modicum|n.少量,一点点
592|tall|a.高的,长的
593|pinniped|a.鳍足类的
594|woodworker|n.木工
595|maverick|a.标新立异的,持不同意见的
596|waster|n.挥霍者,废品
597|comprehensive|a.全面的,能充分理解的
598|efficiently|ad.有效地,能胜任地,效率高地
599|whoever|pron.任何人,无论谁
600|coyote|n.一种产于北美大草原的小狼,山狗
601|contingent|a.可能发生的,附随的.n.偶然的事情
602|redesign|v./n.重新设计
603|moisten|vt.弄湿vi.变潮湿
604|brant|n.黑雁
605|redbud|n.紫荆属植物
606|swim|n./v.游泳
607|unfold|v.展开,显露,展现
608|haven|n.港口,避难所
609|poisonous|a.有毒的,恶意的
610|three|num.三
611|vigilance|n.警戒,警惕
612|quantify|v.用数量表示,量化
613|tenement|n.公寓
614|respond|v.回答,响应,作出反应
615|host|n.主人,主持人
616|saucer|n.茶托,碟子
617|stylize|vt.使风格化,仿效...的风格
618|modernistic|a.现代的,现代主义的
619|stove|n.炉
620|cleverness|n.聪明,机灵
621|dike|n.堤防.vt.筑堤提防
622|thimble|n.顶针,嵌环
623|invisible|a.看不见的,无形的
624|phrase|n.短语.vt.表达,叙述
625|hiccup|n.打嗝.v.打嗝
626|vitality|n.活力,生命力
627|transmit|vt.传送,传达,传染
628|unit|n.个体,(计量)单位,单元,部件
629|nearly|ad.几乎,差不多
630|quickest|a.最快的
631|argument|n.争论,论据,论证
632|fibrous|a.含纤维的,纤维性的
633|mouldy|a.发霉的,腐朽的,旧式的
634|tanker|n.油轮
635|link|v.连接,联系.n.联系,环节
636|toad|n.[动]蟾蜍
637|photography|n.摄影
638|subtractive|a.减去的,负的,有负号的
639|autonomous|a.自治的,自主的
640|irrigation|n.灌溉,冲洗
641|holiday|n.假日
642|ill-equipped|a.装备不良的
643|reckon|v.计算,估计,测算,认为,猜想
644|rural|a.农村的,田园的,有乡村风味的
645|instead|ad.代替,反而
646|formation|n.形成,构成,编队
647|cup|n.杯子.v.使成杯状
648|technological|a.科技的,工艺的
649|salary|n.薪水
650|assault|n./v.攻击,袭击,抨击
651|respiration|n.呼吸,呼吸作用
652|trend|n./v.倾向,趋势
653|emerge|vi.浮现,显露,摆脱
654|conventionally|ad.照惯例
655|dissenter|n.持异议者
656|discipline|n.纪律,学科.v.训练
657|midway|n.中途,半路.a.中途的.ad.在中途
658|fifteen|num.十五
659|flora|n.[罗神]花神
660|unstable|a.不牢固的,不稳定的
661|neutron|n.中子
662|earth|n.地球,陆地
663|questionnaire|n.调查表,问卷
664|professionalism|n.职业水准或特性,职业化
665|preexist|v.先前存在
666|more|ad.更(多).a.更多(大)的.n.更多的人（或物）
667|pylon|n.塔门,路标塔
668|philanthropist|n.慈善家,博爱的人
669|odd|a.奇特的,奇数的.n.[pl.]机会
670|like|v.喜欢.prep./a.像,相像的
671|pasture|n.牧草地,牧场.vt.放牧
672|achievable|a.做得成的,可完成的
673|bony|a.多骨的,瘦骨嶙峋的
674|very|ad.很.a.正是的,真实的
675|relocate|v.重新部署,迁移
676|induce|vt.促使,引诱
677|public|a.公共的,公开的.n.公众,公共场所
678|woodworking|n.木工艺,木工行业.a.干木工活的
679|dormant|a.冬眠的
680|poet|n.诗人
681|landmass|n.大陆
682|reprint|v.再版
683|discontinuity|n.不连续,中断
684|where|ad.在哪里.conj.在...地方.n.地点
685|copyright|n.版权,著作权
686|outnumber|vt.数目超过,比...多
687|primal|a.最初的,主要的
688|welcome|vt./.n.欢迎.a.受欢迎的
689|welland|n.韦兰（加拿大东南部港口城市）
690|discredit|v.怀疑,破坏…的名声.n.丧失名誉
691|nostril|n.鼻孔
692|density|n.密度
693|destructive|a.破坏(性)的
694|long-lasting|a.持续时间长的
695|sadness|n.悲哀,悲伤
696|prize|n.奖(金,品)vt.珍视,珍惜
697|skill|n.技能,技巧,本领,技术
698|frequency|n.频率,发生次数
699|unused|a.不用的,未消耗的
700|rainbow|n.彩虹
701|phenomenal|a.现象的,显著的
702|exertion|n.努力,发挥,运用
703|elite|n.精英,精华
704|crossbones|n.交叉腿骨的图形
705|cherish|vt.珍爱,怀抱(希望等)
706|stabilize|v.稳定,安定
707|cause|vt.引起,使(发生).n.原因,目标
708|viewpoint|n.观点
709|standard|n.标准,规格.a.标准的,合规格的
710|turtle|n.海龟
711|microorganism|n.微生物
712|contaminate|vt.弄脏,污染
713|irrational|a.无理性的,失去理性的.n.无理数
714|eohippus|n.<古生>始祖马
715|plain|n.平原,草原.a.清晰的,简单的,朴素的
716|mint|n.薄荷
717|death|n.死,死亡
718|outcry|n.大声疾呼
719|metaphysical|a.形而上学的,纯粹哲学的
720|clerk|n.职员,办事员
721|less|a./ad.[little的比较级]更少(小)的
722|price|n.价格,价值.v.给…定价,估价
723|round|a.圆的.ad.在周围.prep.大约.v.环(绕)
724|decompose|v.(使)腐烂,分解
725|comprise|v.包含,由...组成
726|suppose|vt.推想,假设,认为
727|reject|vt.拒绝,退回,抵制
728|length|n.长度
729|questionable|a.可疑的,有问题的
730|localization|n.地方化,局限,定位
731|him|pron.他
732|disorient|vt.使失去方向感,使迷惑
733|entertainer|n.款待者,表演娱乐节目的人
734|advise|vt.劝告,忠告,警告,建议
735|third|num.第三,三分之一
736|studio|n.画室,工作室
737|linguist|n.语言学家
738|afflict|vt.使痛苦,折磨,使苦恼
739|lie|v.躺,说谎,位于
740|steadfastly|ad.踏实地,不变地
741|substantiated|vt.证实,实体化
742|breach|n.破坏,裂口.vt.打破,突破
743|ornamentation|n.装饰
744|finish|n./v.完成,结束
745|severely|ad.严格地,激烈地
746|technology|n.工艺,技术,术语
747|evaluate|v.评价,估计
748|gripe|n.紧握,柄.v.握紧
749|incubator|n.培养的器具,孵卵器
750|omit|vt.省略,遗漏,删除,疏忽
751|fascinate|vt.使着迷
752|ornate|a.华丽的,装饰的,绚丽的
753|portion|n.一部分
754|sing|v.唱,演唱
755|incident|n.事件.a.附带的,易于发生的
756|lyrical|a.抒情诗调的,充满感情的
757|whenever|conj.无论何时,随时
758|category|n.种类,分类,范畴
759|tornado|n.龙卷风
760|useful|a.有用的,有益的
761|academic|a.学院的,理论的
762|coincidence|n.一致,同时发生或同时存在(尤指偶然)的事
763|origin|n.起源,来源,出身,原点,开端
764|forever|ad.永远,永恒
765|starling|n.欧掠鸟
