ID|word|meaning
34|accessory|辅助的,附属的：secondary, supplementary, subordinate, 帮凶：one, wrongdoing
35|accidental|意外发生的,偶然的：unexpectedly, 附带的,不重要的：not being a vital part
36|acclimate|使适应：to change (something) so as to make it suitable
37|accolade|同意,赞赏：approval, 赞扬：praise
38|accommodate|提供所需(例如服务、借贷、寄宿)：provide, 改变以适应新情况、新场景：make, suitable,使和谐：free of conflicts
39|accost|以挑衅的形式搭讪：challenging or aggressive way
40|accrete|逐渐增长：grow, gradually
41|accumulate|逐渐增长：increase gradually
42|acerbic|(心情、心境或者语调)尖酸的：wit, cause hurt feelings
43|acme|顶点,极点：highest, 最佳典范：most perfect type
44|acquiesce|勉强同意,默许：accept, tacitly or passively
45|acrid|辛辣的,刺鼻的：harsh, taste, odor, 刻薄的：wit, cause hurt feelings
46|acrimonious|刻薄的,充满仇恨的：deep-seated resentment
47|acumen|不同寻常的洞察力和鉴别力：exceptional discernment and judgment
48|acute|敏锐的：keen discernment, 严重的,急性的：immediate attention, (程度、影响)极强的：extreme
49|adamant|固执的,不可动摇的：unshakable, unyielding, inflexible
50|adapt|修改,使(适应)：modify
51|addict|沉溺,上瘾：surrender, obsessively, 对某事上瘾的人：habitual liking
52|adhere|依附,粘着：stick, 服从,遵守：according to the commands, 坚定地支持：steadfast support
53|adjourn|延期,休会：suspend,
54|adjunct|附属物,非必需部分：not essentially a part
55|ad-lib|即兴的：without previous thought or preparation
56|admonish|建议：give advice, 责备：reprove gently
57|adore|喜爱,因···感到愉悦：pleasure, 宠爱：tenderness
58|adulate|极度谄媚：praise too much
59|adulterate|掺杂,加入低等成分：impure, addition
60|adumbrate|部分地或有保留地揭露：disclose, 预示着：give a slight indication
61|adventitious|外来的,后天的,非内在的：not inherent or innate
62|adversary|敌手,对手：resists, enemy
63|advert|引起注意,提到：refer
64|advocate|支持,提倡：support
65|affable|和蔼的,温和的：ease, friendliness
66|affinity|喜欢,倾向：attraction
67|affluent|富裕的：sufficient
68|aggrandize|增加、提高(力量、财富、地位、声誉)等：enhance
69|aggravate|加重,恶化：worse, serious, severe
70|aggregate|集合体：units or parts, associated, 集合,聚焦：collect or gather
71|aggressive|好斗的：attack, 强有力的,强烈的：forcefulness
72|aggrieve|使苦恼,使悲痛：pain, trouble, distress
73|agitate|煽动,激起：arouse, 使不安：trouble the mind, disturb
74|agog|极度感兴趣的：urgent desire or interest
75|agonize|(使)非常痛苦：deep sadness
76|airtight|无瑕疵的：no, flaw, 密封的,不透气的：impermeable to air
77|alacrity|反应迅速,乐意,欣然
78|alibi|不在场的证明,托辞,借口：excuse
79|alienate|疏远,离间：make unfriendly, 转移,变卖(财产或权利)：convey or transfer
80|align|使排成一行：line, 调准,校准：adjust
81|allay|减轻：subdue, reduce, intensity or severity
82|allegiance|忠诚：devotion or loyalty
83|alleviate|缓和,减轻：relieve, lessen
84|allude|间接提到：indirectly
85|allure|吸引：attract or delight, 诱惑做(某事)lead, pleasure or advantage
86|ally|盟友,支持者：association, 加入联盟：enter
87|aloft|在空中：in flight
88|aloof|孤高的,不合群的：distant
89|altruism|利他主义：unselfish
90|amalgamate|合并,混合：combine, unified, unite
91|ambiguous|有多种理解方式的,不确定的：more than one, doubt, uncertain
92|amble|漫步,闲逛：walk slowly, leisurely, stroll
93|ambrosial|(食物)特别美味的,香的：extremely pleasing
94|ameliorate|改善,改进：become better, improve
95|amenable|顺从的,服从的：yield, submit
96|amenity|(环境、设备等的)舒适,人性化：comfort, 融洽,和谐：pleasant, agreeable
97|amiable|好脾气,友好易相处的：friendly
98|amicable|友善的：friendly, amiable
99|amity|友好关系,亲善和睦：friendship, friendly
100|amorphous|无固定形状的：definite, shapeless, 不可归类的：unclassifiable
101|analgesic|镇痛剂：medication, reduce, eliminates pain
102|anarchist|反抗权威的人：rebels against any authority
103|anathema|诅咒：curse
104|ancillary|次要的：secondary importance,辅助的,补充的：auxiliary, supplementary
105|anecdote|短小有趣的故事：short narrative, interesting, amusing
106|anemic|缺乏力量、活力、精神的：lacking force
107|anesthetic|止痛剂：relieves pain, 无感觉的,麻木的：lacking awareness or sensitivity
108|animate|活的：有活力的：life, 使有活力,支持：high-spirited energy, 使行动,驱使：action, 使活灵活现,使栩栩如生：lifelike movement
109|animus|敌意：spiteful, malevolent, enmity
110|annoy|不断烦扰：disturb, repeated
111|annul|宣告无效,取消：legally invalid, 抵消：balance, ineffective
112|anomalous|不普通的,不平常的：out, ordinary, 反常的,不正常的：departing
113|anonymous|匿名的：not named, identified, 无特色的：lacking individuality
114|antagonize|与...敌对,反对：opposition, counteract, 激怒：incur, provoke, hostility
115|antediluvian|非常古老的,过时的：extremely old, antiquated, 保守的人：old-fashioned
116|anterior|前面的：before
117|antic|滑稽可笑的：clownish
118|apathy|冷漠,缺乏情感：lack, feeling, emotion, 缺乏兴趣,不关心：lack, interest, concern
119|aphorism|格言,警句：short witty
120|apocalyptic|预言的,启示的：prophetic, 重要的,转折点的：major turning
121|apocryphal|假的：doubtful authenticity, spurious
122|apoplectic|极度愤怒的：extremely angry, furious
123|apostasy|放弃宗教信仰：renunciation, faith, 变节,背叛：abandonment, previous loyalty
124|appall|使惊恐：consternation
125|appeal|申请：application, 起诉：charge, crime, accuse
126|appealing|吸引人的：attractive, inviting
127|applause|鼓掌,认可：approval
128|apposite|相关的,合适的：pertinent, appropriate
129|appreciable|可感知的,明显的：perceptible
130|apprehension|忧虑,恐惧：suspicion, fear, 逮捕：arrestment, 理解：understand
131|apprise|通知,告知：inform
132|approbation|同意：approval
133|appropriate|私自挪用：take possession, without permission, 适当的：suitable, fitting
134|apropos|相关的：relevant, 关于,有关：having to do with
135|apt|恰当的,合适的：suitable, appropriate, 有倾向的,可能的：tendency, likely, 聪明的：intelligent, responsive
136|archaic|过时的,久远的：no, current, antiquated
137|archetype|典范,榜样：ideal, 先驱,鼻祖：earlier, 原型：copies
138|ardor|狂热：strong enthusiasm, devotion, zeal
139|arduous|难以做到的,费劲的：difficult
140|argot|隐语,黑话,行话：specialized, particular
141|arrest|使不活跃：inactive, 停止：stopping, standstill, 逮捕：keep, 吸引(某人)注意力：hold, attention
142|arresting|吸引人的：attracting, striking
143|arrhythmic|不规律的：lacking, regularity
144|arrogance|傲慢,自大：overbearing pride
145|articulate|清晰地表达：clearly, distinctly, 表达清晰的：able, express, clearly
146|ascendant|有影响力的,主宰的：dominant, influence, superior, 上升的：upward, rising
147|ascetic|苦行的,克己的,禁欲的：self-denial, 禁欲者：person, self-discipline
148|aseptic|消毒的,无菌的：preventing infection, 缺乏活力的：lacking vitality, 冷漠的：lacking emotion
149|askew|不成直线的(地),歪的(地)：awry
150|aspect|外表,容貌：appearance
151|asperity|(举止、性情)粗暴：roughness, (环境)艰苦：rigor, severity
152|aspersion|诽谤,中伤：harm, reputation
153|aspirant|有抱负者,有野心者：aspires, 想成为···的：seeking
154|assent|同意：agree
155|assert|断言,肯定地说出：declare, forcefully, aggressively
156|assertive|自信的：bold, assertion, self-assured
157|assess|评估(重要性、尺寸、价值等)：determine, 征收费用(如罚款)：charge, penalty
158|assiduous|勤勉的,专心仔细的：careful
159|assuage|缓和,减轻：lessen, intensity, 平息,抚慰：pacify, calm, 使满足：satisfying
160|astounding|令人吃惊的,出乎意料的：astonishment, amazement
161|astute|机敏的,有洞察力的：shrewdness, perspicacity
162|asunder|分离成多部分或多片地：separate parts, pieces, 分离地：apart
163|asylum|收容所,保护所：refuge, protection
164|asymmetrical|不平衡的,不对称的：no balance, symmetry
165|atone|赎罪,弥补：amends
166|atrocious|极坏的,极其残忍的：extremely wicked, 让人极为不满的：extremely unsatisfactory
167|attenuate|降低(数量、力量、价值)：lessen
168|audacious|大胆的,(但往往)愚勇的：fearlessly, recklessly, 蔑视(法律、礼节)的,无礼的：contemptuous of law, 乐于冒险的：take risks, 大胆创新的：verve
169|augur|预言家：predicts, 出现好兆头：signs of, successful outcome, 预言：tell, beforehand
170|authentic|真实的,非仿造的：exactly, 准确的,相符的：original
171|authority|(某领域的)权威人士：a high level of knowledge, 管辖权,控制：lawful control, 影响力：power to direct, (管束他人的)权力：right, control others, 根据,理由：warrant
172|autocracy|独裁政府：government, unlimited power
173|autonomy|政治上的独立：self-governing, 自我主导的自由,(尤其是)精神独立：independence
174|avarice|贪财,贪婪：insatiable
175|aver|声称为真：state, forcefully, (态度强硬而明确地)声明：state clearly
176|aversion|非常讨厌,极厌恶：dislike, 令人厌恶的事物：someone that is hated
177|avid|急切渴望的：enthusiasm, 贪婪(钱财)的：eager, for material possessions
178|awash|被淹没的：by water, (如洪水般)泛滥的：filled, covered, overrun
179|awe|敬畏：dread, veneration, wonder
180|awkward|缺乏灵活性和技巧的：lacking dexterity, (处理问题)缺乏手段和智谋的：a lack of skill and tact, 臃肿笨拙的,不优雅的：lacking ease, 令人尴尬的：embarrassment, (因过大或过重设计问题)难以操作的：difficult to use
181|awning|雨篷,遮阳篷：shelter
182|awry|弯曲的,扭曲的：turned, twisted, 走样的(地),出差错的(地)：off, course
183|axiomatic|公理的：axiom, 不言自明的：self-evident
184|babble|发出含糊无意义的嘟囔声,胡乱说：utter, meaningless, 闲聊：rambling conversation
185|backhanded|间接的,含沙射影的,虚情假意的：indirect
186|badger|不断纠缠或骚扰：harass, persistently
187|badinage|打趣,善意的玩笑：banter
188|bait|逗弄,激怒：persecute, exasperate, 引诱：lead away, 诱饵：something, luring
189|bale|痛苦,悲哀：sorrow
190|baleful|有害的：harmful, 凶兆的,凶恶的：evil, 致命的：causing death
191|balk|阻碍：check, obstacle, 不愿接受,拒绝：unwillingness
192|balky|不服管束的,倔强的：refusing
193|ballad|(由简单诗节和叠句组成的)民歌：poem
194|balloon|迅速增加：increase
195|balm|香油,止痛膏,安慰物：sweet-smelling oil, soothe, 香气：pleasant smell
196|banal|非原创的,陈腐的：trite
197|bane|祸根：ruin, 有害物质：kill or injure a living thing
198|banish|驱逐出境：leave, country, 赶出：force out
199|banter|幽默、打趣的(地)谈话：humored
200|barb|尖锐而严厉的批评：critical
201|barbarous|野蛮的,凶残的：mercilessly, 未开化的：uncivilized
202|barefaced|公然的,厚颜无耻的：brazen
203|bargain|协议：agreement, 讨价还价：negotiate
204|baroque|装饰华丽的,过分雕琢的,复杂的：extravagance, complexity, flamboyance, (程度上)过分的：beyond, limit
205|barrage|弹幕：curtain, 有压倒之势的、集中倾泻的(如言语)：overwhelming, outpouring, (同时)袭来：attack with, overwhelming outpouring
206|barren|不育的：incapable, producing, 不产生结果的,无效的：no results, 贫瘠的：deficient, 极度匮乏的：lacking
207|barricade|障碍物：obstruction, rampart, 用障碍物阻止通过：prevent access
208|barter|以物换物：trade, without
209|batch|一批次的量：unit, 一小群人：small number of persons
210|bathetic|平凡的,陈腐的：commonplaceness
211|bawdy|下流的,猥亵的：indecent
212|bedeck|装饰,点缀：make more attractive
213|belabor|(当众)严厉批评：criticize, 就···作过度的说明,喋喋不休：explain, excessively
214|beleaguer|包围,围攻：to surround, 使困扰,使烦恼,使消沉：trouble
215|belie|错误的描述,误述：picture falsely, 证明···为假：false, wrong, 掩饰：shut off from view, 与···相对立,与···相矛盾：counter
216|bellwether|领导者,带头人：lead
217|beneficent|仁慈的,好慈善的：charity, (对个人或社会)有益的：contributing
218|benign|好心的,仁慈的：kindness, gentleness, 无害的：not causing
219|berate|(长时间)严厉指责：scold, vehemently, at length
220|beseech|(急切地)恳求：beg
221|besmirch|弄脏,弄污：make dirty, 诽谤,玷污：detract from the honor
222|bifurcate|(使)分成两支：two branches
223|bigot|固执己见者,有偏见的人：obstinately devoted
224|bland|味道平淡的,不刺激的：soothing, 无趣的：dull, 温和的,和蔼的：not harsh
225|blandishment|甜言蜜语,讨某人好话：coax, cajole
226|blasé|(过度放纵之后)厌倦享乐的,腻厌的：apathetic
227|blast|爆炸：explosion, 一阵猛烈的强风：gust, 巨响：loud, sound, 炸裂,爆破：cause to break open,斥责,抨击：criticize harshly
228|blatant|大声喧哗的：noisy, (让人生厌地)惹人注目的：noticeable
229|blazon|使知名：make known openly, 修饰,装扮：make more attractive
230|blemish|缺点,污点：imperfection, 损害,玷污：reduce
231|blight|(使)枯萎：affect, 损害：impair
232|bliss|极度快乐：ecstasy, 极乐世界：place of perfect happiness
233|blithe|愉快高兴的：happy lighthearted, 无忧无虑的,漫不经心的：freedom from worries
234|blueprint|蓝图,详细计划：architects’ plans, 事先计划：work out, in advance
235|blunder|过失：error, mistake, 在···方面犯了很愚蠢且通常很严重的错误,糟蹋：make a stupid, error, 蹒跚：unsteadily
236|blunt|使变钝：less sharp, 减弱(力度等)：weaken in strength or feeling, 直率的：direct, brief
237|blur|(使)变得朦胧,(使)变得不清楚：vague, 使不易理解：unclear to the understanding
238|blurt|突然说出,冲动地说：abruptly
239|bluster|狂妄自大地大声说：loudly arrogant, 大声吹嘘,恐吓：loudly, 喧闹的状态：noisy
240|boggle|(因为怀疑、恐惧)犹豫：hesitate, 笨拙地做：unskillful way
241|boisterous|喧嚷的,吵闹的：noisily
242|bolster|支撑(物)：provide support,鼓励、使有精力：boost
243|bombast|夸大的言辞：pompous
244|bonhomie|温和,和蔼：geniality
245|boo|嘘(以表示不满或嘲笑)：contempt, scorn, disapproval
246|boon|恩惠,福利：benefit, 喜欢集体活动的：enjoy the company of others
247|boor|粗鲁的人,不敏感的人：rude
248|bootless|无用的：useless
249|bound|界限：beyond which a person or thing cannot go, 给···设置界限：set limits, 投入的,坚定的：fully committed
250|boycott|联合抵制,拒绝参与：concerted refusal
251|bracing|令人振奋的,给人带来活力的：giving strength
252|brake|刹车：less rapid
253|brash|愚勇的,鲁莽的：foolishly adventurous, 缺乏判断力的,不明智的：poor judgment
254|brassy|厚脸皮的,不知羞耻的：rude boldness, 华而不实地炫耀：showy
255|bravado|假装勇敢：pretense, 虚张声势：swaggering
256|bravura|优秀演技(的)：brilliant
257|brazen|蛮横大胆的,厚颜无耻的：contemptuous boldness, 大胆自信地去面对或从事：bold self-assurance
258|breach|(对伦理、法律准则的)破坏：breaking, moral or legal code, 违背：fail to keep
259|brevity|简短,简洁：shortness, 精炼：few words
260|bribe|贿赂,收买：give, money
261|bridle|限制
262|brisk|充满生机的,有活力的：activity, (言辞或方式)尖刻辛辣的,刻薄的：keen or sharp
263|bristle|怒不可遏,咆哮：anger, 供应充足,充满：copiously
264|brittle|易碎的,脆弱的,易坏的：broken, 不热心的,不真心的：lacking in friendliness
265|broach|开启,启封：open, 提出讨论：present
266|bromide|陈词滥调：hackneyed
267|brook|忍受,容许：tolerate, 小溪流：creek
268|browbeat|恐吓：intimidate
269|bruit|(未经证实地)散播(消息)：make, the subject of common talk
270|buck|阻止,反对：refuse assent, 转移,交接：shift possession
271|budge|(使)改变立场或态度：alter a position, 停止抵抗,屈服：cease resistance
272|bulge|凸起：protuberant, 比赛中的优势地位：more favorable condition, 暴涨,突增,在数目或数量上突然而且是临时性的增加：sudden, usually temporary increase, 充满：copiously supplied
273|bully|欺凌弱小者：intimidating manner, 最好的,最棒的：best
274|bumptious|专横傲慢的,自以为是的：superiority
275|bungle|办遭,失败：work clumsily
276|buoy|使充满勇气和力量,使振作：courage or strength
277|buoyant|有浮力的：floating, 心情好的：good mood or disposition
278|burgeon|迅速成长扩大,蓬勃发展：grow, rapidly, flourish
279|burlesque|夸张滑稽地模仿以嘲弄他人的文学艺术作品,恶搞：make fun of
280|burnish|擦亮,磨光：make smooth or glossy
281|buttress|扶墙：supporting, wall building, 为···提供支撑的证据或者信息：provide evidence or information for
282|byzantine|错综复杂的：complicated, secretive, interrelated
283|cache|囤货,藏货：supply, 隐藏：hiding
284|cachet|同意：approval, 声望：prestige
285|cacophony|刺耳的声音：inharmonious sound
286|cadge|乞讨,乞求：beg
287|cajole|哄骗：wheedle
288|calcify|使僵化：inflexible, unchangeable
289|calibrate|调整,使标准化：standardize, (根据标准)精确测量：measure precisely
290|calligraphy|(优美的)书法：elegant handwriting
291|callous| 无同情心的,冷漠的：unfeeling
292|callow|不老练的,不成熟的：lacking, experience
293|calumniate|诽谤,造谣,中伤：false statements
294|camaraderie|友情：friendly
295|cameo|栩栩如生的描绘,简洁生动的描述或刻画：brief, vivid portrayal, 客串：brief but dramatic appearance
296|camouflage|伪装,伪装手段：deceive, hide
297|canard|谣传,误传：misleading 
298|candor|坦率,直率,诚挚：honest, sincere
299|canon| 准则,标准：standard, criterion, 真经,正典：authentic
300|canvass|仔细检查,详尽讨论：examine carefully or discuss thoroughly, 游说,去(一个地区)的各处或找到(个人)来拉选票或订单：solicits votes or orders
301|capitulate|投降,默许：give all resistance
302|caprice|一时冲动的决定：impulsive change, 反复无常,善变：change, impulsively
303|captivate| 吸引：attract
304|careworn|忧心忡忡的,焦虑的：grief, anxiety
305|cardinal|主要的,非常重要的：foremost importance, paramount
306|caricature|用讽刺歪曲等手法的夸张,漫画,讽刺画：exaggeration, 嘲笑性模仿或夸张：copy, exaggerate
307|carnal|肉体的,物质的：physical, 世俗的：worldly
308|carouse|畅饮,狂欢作乐：drink, freely
309|carp|对小事吹毛求疵,挑剔,表现不满：peevish criticism, objections, express dissatisfaction, tiresomely
310|carve|雕刻：three-dimensional representation, (通过长期不懈努力)开创,开拓：produce or bring about
311|cast|演员,演员阵容：a set of characters, 选派(演员)：assign, actor, 提出：give off, 抛弃：get rid of
312|castigate|强烈(公开)指责：criticize, 惩罚：penalty
313|catalyze|成为···的导火索,导致：be the cause of
314|catastrophe|大灾难：tragedy, 彻底的失败：utter failure
315|categorical|没有例外的,无条件限制的,绝对的：without, qualification, absolute
316|catholic|普遍的,包容的：not limited or specialized
317|caustic|腐蚀性的：destroying, eating away, 挖苦讽刺的,刻薄的：incisive sarcasm
318|caveat|警告,告诫：warning of a specific limitation
319|cavil|挑剔,吹毛求疵：quibble
320|cavort|欢快地蹦跳或行走,雀跃：sprightly
321|cede|(根据条约)放弃,割让：surrender possession of
322|cement|粘合,粘合剂：uniting, binding
323|censor|审查并删除不良的东西：examine, delete
324|censorious|挑剔指责的：critical
325|censure|公开表示反对,谴责：public, formal disapproval
326|census|人口普查：survey, population
327|cessation|终止,暂停：stopping of a process
328|chaff|开玩笑：make jokes
329|chagrin|沮丧,懊恼：mind
330|chameleon|变色龙,善变的人：changes or adopts opinions
331|champion|支持：support
332|chaos|混乱：disorder, confusion
333|charade|装模作样：intended to deceive, 动作字谜：represented in pantomime
334|charlatan|骗子,装懂的人：fraudulent
335|chary|非常谨慎的：cautious
336|chase|镂雕(金属)以装饰：decorate, 驱赶：force out
337|chasm|分歧,(意见、利益或忠诚上)明显差异：pronounced difference
338|chauvinistic|盲目爱国的：excessive favoritism
339|check|使突然停止,阻止：arrest, abruptly, 同意,一致：agreement
340|cherubic|天使般可爱的：rosy
341|chicanery|诡计多端的,欺骗：deception
342|chide|责备：scold mildly
343|choleric|易怒的,暴躁的：angered, 生气的：anger, irate
344|chord|与···和谐一致,符合：accord, agree
345|chromatic|彩色的：colors
346|chronic|经常发生的,复发的：frequent recurrence,习惯性的,不可能改变的：not likely, change
347|churl|粗野的人：rude, boorish, 吝啬鬼：mean, stingy
348|cipher|无影响或无价值的人：no importance, influence, 计算(价值)：determine, mathematical operations, 密码：conceal
349|circuitous|迂回的,不直接的：not, forthright, direct, 冗长的：more, necessary
350|circumlocution|绕圈子说话：unnecessarily, indirect, evasion, 冗长：too many
351|circumscribe|限制：limit, 包围,围绕：surround
352|circumspect|谨慎的,小心的：careful
353|circumvent|躲避,不遵从：avoid, comply
354|civility|彬彬有礼：courteous, politeness
355|claim|要求(权利)：ask for, right, 断言：state as a fact, 剥夺生命：deprive, life, 权利：right
356|clandestine|隐藏的,秘密的：secret, illicit, improper
357|clarion|清楚响亮的：loud, clear
358|clarity|清晰,清楚：clear, lucidity, 清澈透明：easily seen through
359|clasp|紧握：holding
360|clement|宽容的,善良的：tolerant, kind, 气候温和的：neither, high, low
361|cliché|陈词滥调(的)：hackneyed
362|clog|阻碍物：something, movement, progress difficult, 阻碍：difficulty, 堵塞：prevent, through
363|clot|密集的一群：a number of things, a unit, 堵塞：prevent, through, filling with something, 凝结：jelly
364|cloudburst|突然的一场暴雨：sudden copious rainfall
365|clout|权力,影响力：influence
366|cloying|甜得发腻的,感情用事的：sweet, sentimental
367|clumsy|笨拙的：lacking, nimbleness, lack, skill, 不文雅的：lacking, grace, inability, graceful, 不精致的：roughly
368|coagulate|(使)凝结,(使)变稠：coherent, clot
369|coalesce|合并,融合：whole, fuse
370|coax|哄骗：pleading, flattery, cajole
371|coda|终曲：concluding passage
372|coerce|(以武力)强制：force, threat
373|coeval|同时代的,同龄的：equal age
374|cogent|令人信服的：convincing, 相关的：pertinent
375|cognizant|知道的,意识到的：aware
376|collapse|突然倒塌或收缩：fall, shrink, 完全耗尽体力：depletion, energy, strength, 失败：unsuccessful
377|collude|串通,共谋(做坏事)：together secretly, fraudulent, deceitful, conspire
378|colossal|巨大的：size, degree, immense
379|coltish|不守纪律的：not subjected, discipline, 爱开玩笑的：joking, teasing
380|coma|昏迷,深度无知觉：profound unconsciousness, 迟钝,冷漠：sluggishness
381|combustible|可燃的：igniting, 容易激动的：easily excited
382|comely|漂亮的,吸引人的：pleasing, wholesome, attractive
383|comity|友好,社会和谐：friendly, harmony
384|commencement|开始：beginning, 毕业典礼：conferring
385|commend|赞扬：approbation, praise, 委托保管：entrust, 推荐：recommend
386|commensurate|同样大小的：equal, 相称的,相当的：proportionate
387|commingle|充分混合：blend
388|commitment|致力,投入：obligated, impelled, 确信：belief, 承诺,表态：revealing one’s view
389|committed|忠诚的,忠实的：loyal
390|commodious|宽敞舒适的：spacious
391|commonsensical|符合常识的,有依据的：common sense, sound
392|commotion|骚乱：disturbance
393|compendium|摘要：summary, abstract, 目录,各种各样的列表或集合：list, collection
394|complacency|自满,无忧患意识：self-satisfaction, unawareness of trouble
395|complaisance|愿意顺从,讨好,彬彬有礼：comply, affability
396|compliant|顺从的：submissive
397|compliment|称赞,恭维：praise, 敬意,免费赠送的礼物：respectful
398|comply|遵从：conform, submit
399|compose|使镇定：calm, 组成,构成：form, constitute
400|compound|混合物：something composed,混合的：consisting,混合：together,扩大,增多：greater,和解：agree
401|compress|压缩(体积)：reduce size, volume
402|compromise|妥协：concessions,使危险：danger
403|compunction|焦虑,内疚,良心不安：anxiety, guilt
404|concatenate|连结,混合：bring together
405|concave|凹的：curved
406|conceal|隐藏,隐瞒：prevent disclosure
407|concede|承认：grant,停止抵抗：cease resistance
408|concentrate|集中：focus,浓缩：less dilute,聚集：together
409|concerted|共同完成的：accomplished together
410|conciliate|平息,抚慰：lessen the anger,调解：compatible, reconcile
411|concise|简洁的：brevity
412|concord|一致,和睦：harmony, agreement
413|concur|同意：agreement,同一时间发生、存在：same time,团结合作：joint
414|condescending|摆出高人一等的姿态的：patronizingly superior
415|condign|应得的,恰当的：deserved
416|condole|表达同情：sympathetic
417|condone|宽恕,忽视：forgive
418|conducive|有益的,有促进作用的：promote
419|confident|有信心的,自信的：assurance, self-reliance
420|confine|禁闭,监禁：imprison,限制：limits
421|confluence|汇合,混合：together same
422|confront|直接对抗,直面：face to face
423|confound|使困惑：uncertainty,无法区分,混淆：fail to differentiate,证明为假,证伪：false
424|congeal|凝固,固化：solid state
425|congenial|和善的,友好的：agreement,令人愉悦的：giving pleasure
426|congruent|和谐一致的：in agreement,全等的：coinciding
427|conjecture|揣测的结果：conclusion by surmise,猜测,估计(大小、数量等)：decide without actual measurement,(没有依据地)认为：form an opinion
428|connive|暗中合作,共谋：cooperate secretly,纵容：假装忽视或并未采取措施阻止错误：pretend ignorance ought to oppose
429|connoisseur|鉴赏家(尤指艺术领域)：with discrimination, appreciation,专家：high level of knowledge
430|conscientious|仔细的,一丝不苟的：involving great care,有良心的,正直的：governed by conscience
431|consensus|一致同意：general agreement
432|consequence|结果：produced by cause,重要性,价值：importance
433|conservative|守旧的,不愿改变的：oppose change,不招摇的,低调的：not showy,谨慎小心的：close attentiveness
434|conservatory|温室：greenhouse,艺术学院：school arts
435|conserve|保存,避免浪费：keep avoid wasteful
436|considerable|(数量上)可观(而值得注意)的：large,值得考虑的,重要的：significant
437|console|安慰,慰藉：alleviate, comfort
438|consolidate|使联合,统一：join together,加固,使安全：make firm
439|consonant|和谐一致的：in agreement
440|conspicuous|显而易见的,吸引人的：obvious
442|constitute|指派,任命：appoint,构成：make up
443|constrain|限制：restriction,使人屈服于(压力、感情)等：give in to pressure
444|constringe|使紧缩：draw together
445|construct|建造,建立：form,创造,相出：create imagination
446|consummate|专业的,有造诣的：extremely skilled,无纰漏的,完美的：perfect,最高档次的,最大规模的：highest degree
447|contagious|传染的：communicate,(情绪等)唤起共鸣的：exciting a similar feeling
448|contaminate|污染,感染：stain
449|content|使满足：appease,主题：major subject of interest,内容,内涵：idea that is conveyed
450|contentious|引起争论的：argumentative,好争论的,好战的：tendency quarrels
451|contiguous|接壤的,相邻的：sharing an edge
452|contort|扭曲：twist
453|contract|契约,合同：binding agreement,收缩：reduce size,感染疾病：become affected
454|contravene|违反,反对：violate, oppose
455|contrite|(因为有罪孽或过错而感到)后悔悲痛的：showing remorse
456|contumacious|不服从的,倔强的：disobedient
457|conundrum|无法解决的问题,迷：insoluble, dilemma
458|convalesce|渐渐康复,渐愈：recover gradually
459|convenience|便利,方便：fitness suitability
460|convention|常规,习俗：agreement, acceptance,公约,协议：agreement,大会,集会：coming together
461|converge|汇集,交汇于一点：move toward one
462|conversant|熟悉的：familiar
463|convert|被改变宗教信仰的人：converted,使改变信仰：bring over from brief,改变,转化：alter
464|convex|凸起的：curves outward
